PREFERRED_NAME,LIST_ID,INCHIKEY,FORMULA,MONOISOTOPIC_MASS,SMILES,NumHDonors,NumHAcceptors,TYPE,MD,KMD,modulo,parent,rep_unit,rep_mass,rep_num,residual,residual_charge,residual_mass,ACRONYM
6:1 Fluorotelomer alcohol,OECDPFAS_list_22012019.csv,STLNAVFVCIRZLL-UHFFFAOYSA-N,C7H3F13O,349.9976308,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,-0.0023692,-0.019986997,0.01998572,C7H3F13O,CF2,49.99680644,6,C1H3F1O1,neutral,50.01679294,NA
8:2 Fluorotelomer sulfonic acid,OECDPFAS_list_22012019.csv,ALVYVCQIFHTIRD-UHFFFAOYSA-N,C10H5F17O3S,527.968794,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,2,Suspect,-0.031206,-0.002518154,28.0007296,C10H5F17O3S,CF2,49.99680644,8,C2H5F1O3S1,neutral,127.9943432,NA
Perfluorotriethylcarbinol,OECDPFAS_list_22012019.csv,XPKCRLYGJRILBY-UHFFFAOYSA-N,C7HF15O,385.9787871,OC(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1,1,Suspect,-0.0212129,-0.003441603,36.00114202,C7HF15O,CF2,49.99680644,7,H1F1O1,neutral,36.00114287,NA
"Heptadecafluorooctane-1-sulphonamide, compound with triethylamine (1:1)",OECDPFAS_list_22012019.csv,QLNGJPWJYNIYOZ-UHFFFAOYSA-N,C14H17F17N2O2S,600.0739277,CCN(CC)CC.NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,Suspect,0.0739277,-0.11225759,0.11225042,C14H17F17N2O2S,CF2,49.99680644,8,C6H17F1N2O2S1,neutral,200.099477,NA
(3-(((Heptadecafluorooctyl)sulphonyl)amino)propyl)trimethylammonium hydroxide,OECDPFAS_list_22012019.csv,KBILFSVJKSICJV-UHFFFAOYSA-M,C14H17F17N2O3S,616.0688424,[OH-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,Suspect,0.0688424,-0.10819397,16.10716512,C14H17F17N2O3S,CF2,49.99680644,8,C6H17F1N2O3S1,neutral,216.0943916,NA
"1,1,2,2,3,3,4,4-Octafluoro-N,N-bis(2-hydroxyethyl)butane-1-sulphonamide",OECDPFAS_list_22012019.csv,QUQDQNCPLSSGOU-UHFFFAOYSA-N,C8H11F8NO4S,369.0281043,OCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,2,4,Suspect,0.0281043,-0.051676073,19.05045922,C8H11F8NO4S,CF2,49.99680644,4,C4H11N1O4S1,neutral,169.0408788,NA
(Perfluoro-9-methyldecyl)ethyl dihydrogen phosphate,OECDPFAS_list_22012019.csv,XVPQHRLANPJWIF-UHFFFAOYSA-N,C13H6F23O4P,693.9636434,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,2,2,Suspect,-0.0363566,-0.007970522,44.00515968,C13H6F23O4P,CF2,49.99680644,11,C2H6F1O4P1,neutral,143.9987735,NA
"Diisopentyl 2-[(2,2,3,3,4,4,4-heptafluorobutanoyl)amino]succinate",OECDPFAS_list_22012019.csv,VIFUJIXWSIVXKN-UHFFFAOYSA-N,C18H26F7NO5,469.1699201,CC(C)CCOC(=O)CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(C)C,1,5,Suspect,0.1699201,-0.19988846,19.19866214,C18H26F7NO5,CF2,49.99680644,3,C15H26F1N1O5,neutral,319.1795012,NA
"2-[(2,2,3,3,4,4,4-heptafluorobutanoyl)amino]benzoic acid",OECDPFAS_list_22012019.csv,JEZNKLYJYJESLE-UHFFFAOYSA-N,C11H6F7NO3,333.0235902,OC(=O)C1=CC=CC=C1NC(=O)C(F)(F)C(F)(F)C(F)(F)F,2,2,Suspect,0.0235902,-0.044862175,33.04275156,C11H6F7NO3,CF2,49.99680644,3,C8H6F1N1O3,neutral,183.0331713,NA
Perfluorosuberic acid,OECDPFAS_list_22012019.csv,QYCPVKMFWNBDPV-UHFFFAOYSA-N,C8H2F12O4,389.9761465,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,2,2,Suspect,-0.0238535,-0.001056335,39.99850142,C8H2F12O4,CF2,49.99680644,6,C2H2O4,neutral,89.99530854,NA
9:1 Fluorotelomer alcohol,OECDPFAS_list_22012019.csv,NIRPXSQCRWXHNZ-UHFFFAOYSA-N,C10H3F19O,499.9880498,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,-0.0119502,-0.019986677,0.0199854,C10H3F19O,CF2,49.99680644,9,C1H3F1O1,neutral,50.01679294,NA
"5,5,6,6,7,7,7-heptafluoro-4,4-bis(trifluoromethyl)heptanoic Acid",OECDPFAS_list_22012019.csv,QOUXPUNWZRSOCX-UHFFFAOYSA-N,C9H5F13O2,392.0081955,OC(=O)CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0081955,-0.033235133,42.03055042,C9H5F13O2,CF2,49.99680644,6,C3H5F1O2,neutral,92.02735762,NA
3:3 Fluorotelomer carboxylic acid,OECDPFAS_list_22012019.csv,ISFKSWMQWIRDNC-UHFFFAOYSA-N,C6H5F7O2,242.0177765,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0177765,-0.033235453,42.03055074,C6H5F7O2,CF2,49.99680644,3,C3H5F1O2,neutral,92.02735762,NA
"7,7,8,8,9,9,10,10,10-nonafluorodecan-1-ol",OECDPFAS_list_22012019.csv,QZDCHCYMFXJOCS-UHFFFAOYSA-N,C10H13F9O,320.0822685,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0822685,-0.102713844,20.10142986,C10H13F9O,CF2,49.99680644,4,C6H13F1O1,neutral,120.0950433,NA
