"int","exp_modulo","INCHIKEY","FORMULA","SMILES","NumHDonors","NumHAcceptors","MD","KMD","modulo","parent","rep_unit","rep_mass","rep_num","residual","residual_charge","residual_mass","MONOISOTOPIC_MASS","TYPE","LIST_ID","HS_num","Homologues","exp_KMD","mz","ret","PREFERRED_NAME","ACRONYM"
5850,13.996922470271,"UZUFPBIDKMEQEQ-UHFFFAOYSA-N","C9HF17O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.970508,"Target","TargetsList_20240719.csv",1,7,0.00218347238995875,463.968180430271,468.212,"Perfluorononanoic acid","PFNA"
9760.5,13.996870305878,"PCIUEQPBYFRTEM-UHFFFAOYSA-N","C10HF19O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.9673144,"Target","TargetsList_20240719.csv",1,7,0.00223564011503186,513.964934705878,575.218,"Perfluorodecanoic acid","PFDA"
10211.5,13.995729435669,"SIDINRCMMRKXGQ-UHFFFAOYSA-N","C11HF21O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.9641207,"Target","TargetsList_20240719.csv",1,7,0.0033765831974506,563.960600275669,624.254,"Perfluoroundecanoic acid","PFUdA"
7240,13.995151120607,"CXGONMQFMIYUJR-UHFFFAOYSA-N","C12HF23O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.960927,"Target","TargetsList_20240719.csv",1,7,0.00395493519943102,613.956828400607,643.336,"Perfluorododecanoic acid","PFDoA"
7062,13.994904335914,"LVDGGZAZAYHXEY-UHFFFAOYSA-N","C13HF25O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.9577333,"Target","TargetsList_20240719.csv",1,7,0.00420173565578352,663.953388055914,703.788,"Perfluorotridecanoic acid","PFTrDA"
15932,13.994208697007,"RUDINRUXCKIXAJ-UHFFFAOYSA-N","C14HF27O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713.9545397,"Target","TargetsList_20240719.csv",1,7,0.00489741899707496,713.949498857007,769.635,"Perfluorotetradecanoic acid","PFTeDA"
5305,13.993218054885,"OJMBMWRMTMHMSZ-UHFFFAOYSA-N","C16HF31O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,813.9481523,"Target","TargetsList_20240719.csv",1,7,0.0058881243965061,813.942121094885,818.894,"Perfluorohexadecanoic acid","PFHxDA"
1016,15.001471274258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,-0.00242949743289955,364.979116354258,267.375,NA,NA
1145,14.99989352958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,-0.000851651976063295,514.96795792958,576.578,NA,NA
1136,14.998810216579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0.000231730221798898,564.963681056579,624.254,NA,NA
