group	ret	mz	EC_022024	adduct	neutralMass
M60_R347_1	346.688	60.0211121057305	11412	[M-H]-	60.0211121057305
M60_R615_2	614.718	60.0208861206931	8995	[M-H]-	60.0208861206931
M60_R855_3	854.623	60.0204932809158	2649	[M-H]-	60.0204932809158
M61_R354_4	353.764	60.9740587346999	293.5	[M-H]-	60.9740587346999
M61_R494_5	493.808	60.9740991222563	367	[M-H]-	60.9740991222563
M78_R354_6	353.764	77.9768428541433	793.5	[M-H]-	77.9768428541433
M78_R493_7	492.507	77.9768044570317	815	[M-H]-	77.9768044570317
M96_R472_8	471.899	95.9870066697305	449	[M-H]-	95.9870066697305
M114_R200_10	199.804	114.103593293248	361	[M-H]-	114.103593293248
M116_R201_12	201.306	116.08270240988	200	[M-H]-	116.08270240988
M116_R134_13	133.77	116.083298931386	2862	[M-H]-	116.083298931386
M117_R136_14	136.0225	117.082429713548	230	[M-H]-	117.082429713548
M118_R186_15	186.29	117.979026288723	253	[M-H]-	117.979026288723
M126_R200_19	199.804	126.103771592509	243	[M-H]-	126.103771592509
M128_R254_20	253.863	128.002047563358	512	[M-H]-	128.002047563358
M128_R200_21	199.804	128.101474593629	1025.5	[M-H]-	128.101474593629
M130_R254_23	253.863	129.999220999194	215	[M-H]-	129.999220999194
M130_R200_24	199.804	130.098698479284	7506	[M-H]-	130.098698479284
M131_R162_25	161.5575	131.094104176421	2427.5	[M-H]-	131.094104176421
M132_R183_26	183.288	131.963806674763	380.5	[M-H]-	131.963806674763
M134_R157_28	157.029	133.957172512221	202	[M-H]-	133.957172512221
M138_R325_30	325.2765	137.943369299997	1229.5	[M-H]-	137.943369299997
M138_R529_31	528.94	137.943127470666	1378.5	[M-H]-	137.943127470666
M142_R227_34	226.833	142.023582138423	4369	[M-H]-	142.023582138423
M142_R134_35	133.77	142.023665838667	3043	[M-H]-	142.023665838667
M143_R240_37	240.353	143.026538884976	208.5	[M-H]-	143.026538884976
M145_R214_39	214.07	145.084968047988	2408.5	[M-H]-	145.084968047988
M146_R161_40	160.792	146.068546875438	861.5	[M-H]-	146.068546875438
M148_R207_42	207.314	148.051374173455	305.5	[M-H]-	148.051374173455
M154_R216_48	215.5745	154.062799478512	307	[M-H]-	154.062799478512
M156_R331_51	331.122	155.953966200924	3411.5	[M-H]-	155.953966200924
M156_R535_52	535.448	155.953755475285	2703.5	[M-H]-	155.953755475285
M156_R216_53	216.321	156.114096376554	2254.5	[M-H]-	156.114096376554
M157_R421_54	420.962	156.97983039867	413	[M-H]-	156.97983039867
M158_R234_57	234.342	157.99721346465	1475	[M-H]-	157.99721346465
M158_R213_58	212.5675	158.112006963722	9368	[M-H]-	158.112006963722
M159_R198_59	198.302	159.096302029025	795	[M-H]-	159.096302029025
M160_R213_61	213.3185	160.122282734242	8464.5	[M-H]-	160.122282734242
M161_R200_62	199.804	161.112230706928	613	[M-H]-	161.112230706928
M163_R201_63	201.306	163.062215793003	931	[M-H]-	163.062215793003
