Name,Chemical]Formula,Type
PFBA,C4HO2F7,target
PFPeA,C5HO2F9,target
PFHxA,C6HO2F11,target
PFHpA,C7HO2F13,target
PFOA,C8HO2F15,target
PFNA,C9HO2F17,target
PFDA,C10HO2F19,target
PFUdA,C11HO2F21,target
PFDoA,C12HO2F23,target
PFTrDA,C13HO2F25,target
PFTeDA,C14HO2F27,target
PFHxDA,C16HO2F31,target
PFPrS,C3HO3SF7,target
PFBS,C4HO3SF9,target
PFPeS,C5HO3SF11,target
PFHxS,C6HO3SF13,target
PFHpS,C7HO3SF15,target
PFOS,C8HO3SF17,target
PFNS,C9HO3SF19,target
PFDS,C10HO3SF21,target
PFDoS,C12HO3SF25,target
Cl-PFOS,C8HClF16SO3,target
PFEtCHxS,C8HO3SF15,target
FBSA,C4H2O2NSF9,target
FHxSA,C6H2O2NSF13,target
FOSA,C8H2O2NSF17,target
MeFOSA,C9H4O2NSF17,target
EtFOSA,C10H6O2NSF17,target
FOSAA,C10H4O4NSF17,target
MeFOSAA,C11H6O4NSF17,target
EtFOSAA,C12H8O4NSF17,target
4.2.FTS,C6H5O3SF9,target
6.2.FTS,C8H5O3SF13,target
8.2.FTS,C10H5O3SF17,target
10.2.FTS,C12H5O3SF21,target
3.3.FTCA,C6H5O2F7,target
5.3.FTCA,C8H5O2F11,target
7.3.FTCA,C10H5O2F15,target
6.2.FTCA,C8H3O2F13,target
8.2.FTCA,C10H3O2F17,target
10.2.FTCA,C12H3O2F21,target
6.2.UFTCA,C8H2O2F12,target
8.2.UFTCA,C10H2O2F16,target
ADONA,C7H2O4F12,target
9Cl-PF3ONS,C8HF16ClSO4,target
11l-PF3OUdS,C10HF20ClSO4,target
HFPO-DA.decarboxylated,C5HF11O,target
6.2.diPAP,C16H9F26O4P,target
8.2.diPAP,C20H9F34O4P,target
MPFBA,[13C4]HF7O2,surrogate
M3PFPeA,[13C3]C2HF9O2,surrogate
M2PFHxA,[13C2]C4HF11O2,surrogate
M4PFHpA,[13C4]C3HF13O2,surrogate
M4PFOA,[13C4]C4HF15O2,surrogate
M5PFNA,[13C5]C4HF17O2,surrogate
MPFDA,[13C2]C8HF19O2,surrogate
MPFUdA,[13C2]C9HF21O2,surrogate
MPFDoA,[13C2]C10HF23O2,surrogate
M2PFTeDA,[13C2]C12HF27O2,surrogate
M2PFHxDA,[13C2]C14HF31O2,surrogate
M3PFBS,[13C3]CF9SO3H,surrogate
MPFHxS,C6F13S[18O2]OH,surrogate
MPFOS,[13C4]C4F17SO3H,surrogate
M2-4.2FTS,[13C2]C4H4F9SO3H,surrogate
M2-6.2FTS,[13C2]C6H4F13SO3H,surrogate
M2-8.2FTS,[13C2]C8H4F17SO3H,surrogate
M8FOSA,[13C8]H2F17NO2S,surrogate
d-N-MeFOSA-M,C9[2H3]HF17NO2S,surrogate
d-N-EtFOSA-M,C10[2H5]HF17NO2S,surrogate
d3-N-MeFOSAA,C11[2H3]H3F17NO4S,surrogate
d5-N-EtFOSAA,C12[2H5]H3F17NO4S,surrogate
M6.2FTA,[13C2]C6H3F13O2,surrogate
M8.2FTA,[13C2]C8H3F17O2,surrogate
M10.2FTA,[13C2]C10H3F21O2,surrogate
M6.2FTUA,[13C2]C6H2F12O2,surrogate
M8.2FTUA,[13C2]C8H2F16O2,surrogate
M10.2FTUA,[13C2]C10H2F20O2,surrogate
MHFPO-DA,[13C2]C3HF11O,surrogate
M4.8.2.diPAP,[13C4]C16H9F34O4P,surrogate
REC_IS_M2PFOA,[13C2]C6HF15O2,surrogate
REC_IS_M8PFOS,[13C8]F17SO3H,surrogate
diSAmPAP,C24H19F34N2O8PS2,target
