Sample Name	Sample Type	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFUdA	PFDoA	PFTrDA	PFTeDA	PFHxDA	PFPrS	PFBS	PFPeS	PFHxS	PFHpS	PFOS	PFNS	PFDS	PFDoS	PFTrDS	Cl-PFOS	PFEtCHxS	FBSA	MeFBSA	EtFBSA	FPeSA	FHxSA	FHpSA	FOSA	FDSA	MeFOSA	EtFOSA	N-MeFBSE	N-EtFBSE	MeFOSE	EtFOSE	FOSAA	MeFOSAA	EtFOSAA	4:2 FTS	6:2 FTS	8:2 FTS	10:2 FTS	3:3 FTCA	5:3 FTCA	7:3 FTCA	6:2 FTCA	8:2 FTCA	10:2 FTCA	6:2 UFTCA	8:2 UFTCA	ADONA	9Cl-PF3ONS	11l-PF3OUdS	HFPO-DA	6:2 diPAP	8:2 diPAP	diSAmPAP	PFMPA	PFEESA	PFMBA	NFDHA	NIS 13C3-PFBA	NIS 13C2-PFHxA	NIS 13C4-PFOA	NIS 13C5-PFNA	NIS 13C2-PFDA	NIS 18O2-PFHxS	NIS 13C4-PFOS	EIS 13C4-PFBA	ESI 13C5-PFPeA	EIS 13C5-PFHxA	EIS 13C4-PFHpA	EIS 13C8-PFOA	EIS 13C9-PFNA	EIS 13C6-PFDA	EIS 13C7-PFUnA	EIS 13C2-PFDoA	EIS 13C2-PFTeDA	EIS 13C2-PFHxDA	EIS 13C3-PFBS	EIS 13C3-PFHxS	EIS 13C8-PFOS	EIS 13C2-4:2FTS	EIS 13C2-6:2FTS	EIS 13C2-8:2FTS	EIS 13C8-PFOSA	EIS D3-NMeFOSA	EIS D5-NEtFOSA	EIS D3-NMeFOSAA	EIS D5-NEtFOSAA	EIS D7-NMeFOSE	EIS D9-NEtFOSE	EIS 13C3-HFPO-DA	EIS 6:2 FTCA	EIS 8:2 FTCA	EIS 10:2 FTCA	EIS 6:2 UFTCA	EIS 8:2 UFTCA	EIS 10:2 UFTCA	EIS 4 8:2 diPAP
LLCCV_01	Quality Control	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2159.135719	1060.127869	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	505.4262857	778.3723436	N/A	N/A	1522.432034	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5594.076622
CCV_01	Quality Control	51016.07884	6875.580029	15086.96794	18713.36041	14627.75504	14564.31691	19696.329	23898.68137	32287.02787	32200.27696	34210.4028	28414.22438	11398.40065	19286.04687	30335.77921	31494.78927	23252.46612	25174.07216	31710.96796	43582.19408	55585.03701	53064.96175	21764.2438	21691.36999	4486.622392	6817.11384	6607.730852	8747.119071	7550.326311	15279.57206	17036.35232	33548.10698	15557.15504	18289.46151	42050.87111	58647.53959	6412.120702	8066.048319	18440.44204	12625.24327	12400.74582	17131.41968	7357.343465	8729.377632	16075.12329	8630.696318	2216.774651	3725.556725	16522.41532	3071.968139	4714.777808	5094.005058	9461.909458	380568.3289	21856.4182	35433.67839	2516.574007	15825.01729	6426.437466	2519.764189	202629.0422	595456.7139	9200.081952	2984.094868	1528877.078	116406.0335	111155.2891	62906.78477	75912.65984	232749.9344	208844.7539	1305883.018	123063.3977	128136.9823	147654.2745	114069.904	66657.31905	83185.16423	110518.1481	131206.4545	157781.3318	99683.32209	159222.6713	267893.5592	225030.617	265624.4258	109850.7619	166602.5986	155847.0547	126072.9911	149325.9734	230973.4169	233904.6503	565058.0303	672700.9459	105448.7808	661442.3335	124634.7641	202381.92	178419.0155	329806.1181	426141.7476	62298.6325
SB_01	Unknown	50579.97742	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	921.4703024	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	730.1304078	354.6020875	N/A	N/A	N/A	N/A	N/A	1029.826897	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1026.615797	N/A	N/A	N/A	185600.4428	N/A	544.1889152	N/A	N/A	9378.591455	1895.020988	1861125.532	112351.654	117434.1735	132514.8237	102043.5436	57567.38603	68411.91051	93462.07461	111104.7515	124362.1643	87073.26203	131703.4491	232196.9794	195107.3886	218816.906	97751.29723	131955.4946	132213.2391	105843.7682	127641.5852	202164.8826	198835.1539	502548.4705	592082.5091	91105.27389	685140.5334	116561.0264	199503.0431	143814.7707	276402.8438	338043.3569	52089.71763
Pooled Sampled n:1	Unknown	42115.46267	2588.592558	18596.20217	5609.434613	13532.07413	4846.758195	N/A	2137.591418	N/A	1128.546641	N/A	1568.185411	7757.722119	28180.45615	46006.98356	297027.1569	24014.61225	1516979.62	3465.036282	1781.639945	N/A	N/A	6223.432416	6938.807531	N/A	N/A	N/A	N/A	535.0028853	N/A	N/A	N/A	N/A	N/A	765.280937	660.00196	N/A	N/A	N/A	N/A	N/A	995.1808771	7974.713788	1805.965106	971.1816445	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1290.452924	N/A	N/A	N/A	229498.7621	N/A	898.3023931	N/A	N/A	9815.373434	1419.72398	1557859.291	118758.8272	127349.1332	140089.2321	110137.1904	59410.12378	73036.82364	92497.21213	116026.8191	131578.9943	93845.47191	143740.3558	260333.4765	193070.7808	243587.1292	98516.00916	140054.0094	140632.9859	112359.4056	137041.5883	196896.6445	200030.7184	534627.7422	624855.3626	98847.04089	740855.9532	118254.2731	193661.5176	140676.962	269497.6989	322539.3102	49912.31247
LLCCV_01	Quality Control	64830.97061	2800.076475	6521.042475	6479.713119	5199.559459	6255.729378	7199.401415	9641.76456	12577.20004	14391.16791	12538.22621	13449.13643	3520.455428	6561.29741	12170.79561	13170.62408	8186.977777	11098.30036	12600.59612	15891.7381	22611.22076	19919.97118	7391.849584	8344.691448	1498.12998	2739.545525	2467.239914	3214.024614	2663.247588	5727.948541	6761.294953	12944.31734	5380.403794	6847.586453	27283.84257	29333.08228	2701.271772	2614.422105	7460.213827	4432.683083	4748.168434	7584.47062	2779.155166	3512.929576	6279.91704	2491.09132	771.713145	1167.050583	8055.968492	826.465326	2269.247576	1463.624602	3765.343031	198861.4025	8934.416444	14067.1607	1161.309459	5827.159846	2689.689457	844.8797812	88555.70191	278590.9057	2819.298344	1193.750365	855449.5015	112852.9815	102189.0184	61622.8641	68335.75665	235709.1756	206454.2693	1316981.704	123851.4129	134672.0658	147176.6722	115994.7611	68302.66215	79961.06791	116298.0098	145230.08	154456.9414	105830.8496	148061.7851	283021.4287	231810.9985	271304.8783	118704.0244	171959.3191	164968.2721	127902.4608	158707.322	235292.9981	250099.048	638107.9048	711027.6736	110771.4038	731893.839	124234.3779	210103.5854	163847.9303	331817.7371	411358.081	65162.77316
CCV_01	Quality Control	49600.12224	6169.494423	15193.4029	17530.3953	13266.88866	14131.5129	17778.38474	22576.49888	29251.98402	33467.42386	32059.15331	30156.1492	10059.12737	17254.7832	28632.68142	29580.83366	23015.46195	26061.62994	32835.78774	43577.97738	58658.30721	51368.86826	19495.77475	21632.52793	4271.058868	6994.056105	6049.680736	8439.835697	6395.898507	14551.50277	17724.04742	32713.62326	13416.75894	17358.73429	54483.31256	69104.50254	6669.818677	6473.624289	17087.64356	11594.84657	12019.22215	15086.23623	5978.81991	8164.340694	15421.40672	7306.213103	2796.664645	3340.362793	18904.80723	3025.979939	4926.587797	3970.328133	9070.57259	489724.8094	21766.0027	37674.32022	3103.144234	15512.45007	6490.409066	2339.38579	216298.5329	682941.8468	7625.391148	3104.376403	1105441.252	113025.8565	109412.0754	58956.38535	70794.89454	231932.6722	206934.879	1469827.541	122093.9591	127608.2168	140915.731	109900.9809	63025.67983	76901.77296	102680.4317	126858.2567	152208.0536	106077.9317	151663.521	257496.0147	225588.9235	238184.2696	98804.73454	152929.7689	152115.7298	120704.7389	144576.3817	222214.2868	238744.2453	585664.3377	684751.4143	101345.2469	808163.8895	125443.2532	217503.4032	165738.9219	324053.8216	441660.7879	60279.1235
SB_01	Unknown	45292.41847	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1505.639327	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1443.076567	2217.087893	N/A	N/A	N/A	N/A	N/A	1085.835457	N/A	N/A	N/A	N/A	N/A	N/A	572.1086408	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	415316.9457	N/A	523.0762725	N/A	N/A	7819.09299	1521.140931	2176975.698	106932.6578	112860.6909	127231.8762	97949.2048	51664.39928	67981.50417	89142.78446	114660.1379	138560.013	92129.65237	120179.4212	225023.3115	200252.3322	202683.6129	94762.07369	133872.3282	128816.4913	105281.2433	135779.0608	199572.137	200185.4163	528615.8353	613764.2399	87265.6603	782855.8316	117579.2634	210434.4947	135172.6304	267644.9261	350341.6286	54166.34144
Pooled Sampled n:2	Unknown	51076.84104	1416.549517	16589.84175	4916.210714	12908.30049	4416.274682	N/A	2496.516525	N/A	1298.086825	N/A	1353.660164	8249.657104	27509.06284	46208.6362	283117.3132	23237.94102	1527514.751	5314.839938	1668.740706	1000.461173	N/A	6757.333839	6530.043215	N/A	N/A	N/A	N/A	511.4781802	N/A	N/A	N/A	N/A	N/A	1332.885108	751.8775255	N/A	N/A	N/A	N/A	N/A	1368.801274	8001.216612	1893.092229	997.5395534	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	311697.3787	N/A	695.0007344	388.9178175	N/A	8629.705372	1884.660495	1578572.256	111773.3084	120790.6706	134079.5223	107941.3043	55992.22075	73210.23075	101443.1282	122130.089	142884.6695	95950.69126	128303.0776	240505.136	196825.7982	227079.2314	98855.87922	138640.3709	139618.1888	111120.515	136860.3518	200130.4581	226340.8913	587294.9353	660059.0706	95180.38057	741917.2958	119310.3795	208996.7891	141445.6422	280440.5412	350926.7702	53623.33716
LLCCV_01	Quality Control	63405.40823	2573.859817	5848.773894	7286.741117	5443.560671	6313.37293	7987.375104	9141.071159	12864.47637	14361.74138	13325.0471	13577.19599	4311.235057	6863.670972	11195.78983	12465.75304	8978.942397	10186.51959	12333.93722	17054.53678	23152.10599	21326.55733	7515.870123	7881.940198	1469.754515	3125.74094	2382.571772	3336.371212	2694.691942	6107.360636	6601.606866	12501.34163	6218.007477	6735.269585	22636.89493	31108.88461	2914.809374	3455.33723	7155.319099	4105.797975	4525.279444	6797.400304	2601.305494	3558.573106	6156.747119	3054.221657	750.5589829	1390.174793	8138.718153	972.2776391	1697.164597	1827.694305	3626.610094	213816.1872	9075.863568	15036.53578	1464.88064	6830.0797	2946.289263	960.2354241	105512.6238	261401.4088	3520.745112	1048.880376	1820596.459	113127.6886	103928.3797	60699.78447	72445.16929	224775.9559	202344.4561	1612561.577	124109.7151	133405.0813	144863.2189	116447.7506	65485.66508	79697.85489	108784.7448	136454.2207	156280.5229	103013.6348	145151.7365	272275.4789	229993.98	256828.9713	115580.7601	162081.2054	160717.873	126671.8199	156692.6207	242076.7734	235929.2006	627298.881	742138.1654	105418.6758	817541.5543	123344.471	222135.6749	165722.6147	324182.9243	450924.5701	64119.6553
CCV_01	Quality Control	48228.1777	6512.800049	14444.11349	16629.82917	13353.12103	14654.79054	16873.46283	22172.21241	28426.26053	34013.10771	33387.23035	27684.55286	9481.893072	15800.45849	27585.67692	31332.85635	22794.79786	23840.24703	30185.1578	42080.15427	54306.45459	53495.75899	19780.24183	19913.6451	4064.654042	6658.639729	5811.918368	7665.922245	7398.396314	14080.31489	16286.12748	33036.31058	12831.96784	16784.865	53030.32705	70284.4648	5879.275588	6498.76735	17251.50082	10463.55792	11784.40327	16128.07462	6636.673736	9066.494656	14899.30148	8839.648617	2313.574072	3618.305017	15636.15212	3324.788473	4337.137939	5093.764747	9354.275243	477544.0556	21717.51735	36428.08581	2362.640465	13590.28661	6447.807798	1607.249326	229609.4315	626653.9861	7687.313273	2509.40699	975351.2096	105555.1447	100118.7972	59067.11706	68353.19597	236008.6407	202141.7531	1373690.063	112449.3282	123170.8932	134260.6066	104259.2936	59172.22577	72002.06139	103486.0751	127580.6599	146010.9663	95694.11083	135918.4715	270588.5337	213207.3878	245524.3582	107876.0219	153291.4592	146462.8037	114540.9961	143758.8296	220744.5866	229394.7867	564637.0745	666392.0969	97782.51823	735700.616	119282.2765	216477.593	157274.4909	322009.0828	420666.8676	60671.69882
