Sample Name	Sample Type	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFUdA	PFDoA	PFTrDA	PFTeDA	PFHxDA	PFPrS	PFBS	PFPeS	PFHxS	PFHpS	PFOS	PFNS	PFDS	PFDoS	PFTrDS	Cl-PFOS	PFEtCHxS	FBSA	MeFBSA	EtFBSA	FPeSA	FHxSA	FHpSA	FOSA	FDSA	MeFOSA	EtFOSA	N-MeFBSE	N-EtFBSE	MeFOSE	EtFOSE	FOSAA	MeFOSAA	EtFOSAA	4:2 FTS	6:2 FTS	8:2 FTS	10:2 FTS	3:3 FTCA	5:3 FTCA	7:3 FTCA	6:2 FTCA	8:2 FTCA	10:2 FTCA	6:2 UFTCA	8:2 UFTCA	ADONA	9Cl-PF3ONS	11l-PF3OUdS	HFPO-DA	6:2 diPAP	8:2 diPAP	diSAmPAP	PFMPA	PFEESA	PFMBA	NFDHA	NIS 13C3-PFBA	NIS 13C2-PFHxA	NIS 13C4-PFOA	NIS 13C5-PFNA	NIS 13C2-PFDA	NIS 18O2-PFHxS	NIS 13C4-PFOS	EIS 13C4-PFBA	ESI 13C5-PFPeA	EIS 13C5-PFHxA	EIS 13C4-PFHpA	EIS 13C8-PFOA	EIS 13C9-PFNA	EIS 13C6-PFDA	EIS 13C7-PFUnA	EIS 13C2-PFDoA	EIS 13C2-PFTeDA	EIS 13C2-PFHxDA	EIS 13C3-PFBS	EIS 13C3-PFHxS	EIS 13C8-PFOS	EIS 13C2-4:2FTS	EIS 13C2-6:2FTS	EIS 13C2-8:2FTS	EIS 13C8-PFOSA	EIS D3-NMeFOSA	EIS D5-NEtFOSA	EIS D3-NMeFOSAA	EIS D5-NEtFOSAA	EIS D7-NMeFOSE	EIS D9-NEtFOSE	EIS 13C3-HFPO-DA	EIS 6:2 FTCA	EIS 8:2 FTCA	EIS 10:2 FTCA	EIS 6:2 UFTCA	EIS 8:2 UFTCA	EIS 10:2 UFTCA	EIS 4 8:2 diPAP
Warm	Unknown	14675.83695	N/A	2854.533497	N/A	6166.140378	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7338.168038	N/A	1216.790196	17537.38362	481.0056124	9293.532248	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	826.6882984	N/A	1124.192379	N/A	N/A	N/A	8042.050436	860.1078088	N/A	N/A	N/A	N/A	N/A	1723.106861	12255.76886	N/A	N/A	N/A	N/A	306.6143233	N/A	N/A	N/A	N/A	N/A	1546.901152	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8601.597085	N/A	1303.335725	580.1339396	N/A	11659.97317	2468.457713	861241.4737	96663.21498	123626.1982	168366.7299	191677.2714	81318.43637	92155.08283	112645.8888	129623.7816	131060.828	98680.97446	151938.6742	331263.7852	296861.0703	239320.8378	190273.6586	183619.4156	127325.8008	134057.0793	180530.4203	144257.1303	148541.209	573138.2093	758050.4361	113994.3699	623161.2462	113552.1143	143447.6941	192131.1948	278915.5777	283831.7427	30743.88286
LLCCV_01	Quality Control	13455.82552	2090.203791	7615.601614	8450.917427	13280.56754	8241.251611	9027.625556	11180.79634	12316.20722	12972.66849	13842.31043	12741.99816	13273.78133	7647.263318	14748.67267	32858.7232	16105.39565	23883.7561	15586.73158	20141.0476	25478.24817	25592.82115	9621.89772	13067.7219	2738.476637	3889.028184	3253.076735	4252.697583	5845.931446	4023.657129	6060.898148	14310.87196	5595.87963	7920.326768	39611.37625	29805.1595	2471.456697	2965.323626	10879.33473	2598.526023	2591.176261	9631.669768	20581.28622	4660.918478	6806.72224	2273.31509	667.0270943	3122.184008	5803.859248	1074.65258	1148.699531	2370.604469	3259.40168	183480.5781	10458.91774	17121.84073	877.0974227	7811.628122	971.0071816	500.9603622	86824.08091	222505.783	1870.824145	625.9622443	532862.5385	235880.9297	390206.0787	192795.3404	203394.6028	606245.3054	602734.9731	544227.5605	114643.3448	149695.2879	215233.7171	237976.3305	108383.1233	128298.2442	152989.9314	174069.21	204625.2787	185901.5158	200799.2773	411429.0236	351709.4185	318561.7091	278110.2739	275293.4625	142588.286	166722.7246	208752.0599	184703.7565	185161.6115	789107.6469	957083.5775	137075.0127	711399.9689	142308.9419	175876.3482	221525.3761	324499.5875	338238.4252	54529.16935
CCV_01	Quality Control	7191.088989	5502.119487	15785.87076	22248.86315	31487.83136	22000.61128	23537.08245	29465.00948	36207.37476	38703.44016	37553.05692	27768.93664	25702.76559	21547.26106	37858.89179	57166.71634	41523.04873	47359.92864	45938.55227	51489.97029	73874.46224	70279.71871	29922.16683	39451.86091	6208.960681	9245.49018	9673.016598	12853.97039	12163.76707	12039.03739	16263.20134	40718.70115	18249.73649	21521.29582	64831.52479	85441.17877	7017.759808	7373.775422	30599.66635	7872.272916	8347.669301	19182.11965	29204.25324	13589.46951	17528.08707	5832.362982	3205.893872	7161.705116	15821.7227	3830.343444	3959.312556	5967.577103	10197.96368	464622.7593	31885.31903	48592.96152	3237.63156	16373.17787	4677.517935	2698.157972	227174.5988	588678.5836	7113.437593	1918.388223	487210.7531	239667.6889	401641.9644	198282.4777	211074.1107	611907.9635	617264.8683	574013.4201	116924.1782	149332.6043	215809.4304	245973.422	112231.0203	130408.7932	161305.2184	172874.2652	194619.6372	156531.1292	199203.9779	410282.9286	358179.5765	319358.6497	280438.3956	281524.6085	142518.9518	163523.8364	206267.3488	179160.444	186830.4518	714744.0891	871073.4841	136661.2309	740828.8036	146000.7273	183492.2739	213324.9956	335138.8783	327786.6101	45541.0602
SB_01	Unknown	13160.4517	N/A	2514.146283	741.324447	6340.47054	N/A	N/A	N/A	N/A	N/A	N/A	847.6537631	10501.89111	N/A	1757.672311	15607.25203	N/A	10450.58929	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1096.835149	N/A	N/A	N/A	3704.266847	2114.499333	N/A	N/A	N/A	N/A	N/A	1777.312639	13849.81128	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	571.0533532	N/A	N/A	N/A	4705.604395	N/A	1397.86283	1030.643953	N/A	12129.68511	2627.873674	431847.5046	96286.95716	128340.9718	177293.0123	207696.0294	95193.12925	108228.9052	129523.1155	151367.4895	149924.4789	107591.3776	174526.2459	335637.2812	313465.1891	276217.3531	236901.9248	230172.2591	118709.9754	140746.2446	172632.6627	151485.9395	151714.5709	569547.9589	707816.2077	113090.1211	643904.8885	123756.0258	150399.7141	204304.7293	309291.7427	316351.5063	38577.01251
Pooled Sampled n:1	Unknown	14067.86044	2030.604276	20732.40484	7945.384763	27778.8843	8668.463437	N/A	3865.03352	N/A	1611.801861	N/A	1354.165291	20175.39391	36410.07895	66807.06821	438161.4577	50188.01881	2489953.829	7963.520122	3091.97515	1475.798803	N/A	11120.64776	14445.07673	N/A	N/A	N/A	N/A	2506.754975	N/A	814.3372909	N/A	N/A	N/A	3063.140215	2470.999264	N/A	N/A	N/A	N/A	N/A	2017.26401	36202.2915	3320.726478	1158.018833	N/A	N/A	351.1253842	697.0305332	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	479.4468618	N/A	N/A	N/A	7253.569373	N/A	2101.84505	617.1779039	N/A	13630.72764	2815.004232	456347.725	102685.7469	140031.7606	190440.3319	226076.5991	101269.8685	115150.2395	142618.8768	162986.7352	159981.3142	123878.5643	180571.35	368605.6608	311703.6135	286361.7128	260883.2712	238919.2602	128541.8872	148405.9783	188500.2524	170233.0326	162059.8524	622956.6567	826158.9207	120295.4934	663726.5021	128136.1729	154229.8346	207991.8847	323341.7283	315801.3495	46828.04082
LLCCV_02	Quality Control	8922.824724	1728.224421	8055.807363	8302.972876	15540.68872	7925.359624	9935.991533	10250.15575	13013.23342	14201.53918	12560.32878	11707.42488	17995.68681	7814.548411	15803.08441	29392.78534	16767.96266	21314.95251	16735.47917	20884.60095	25500.75409	23587.2965	10389.62386	15223.19873	2383.289478	3785.943111	3346.529019	4466.561409	5014.591347	4670.127452	6251.077651	13920.89644	6088.598526	8037.900591	29283.20349	32591.81671	2375.488487	2648.424402	10797.65367	2483.702427	2706.086603	9652.782209	17952.49038	4679.344944	6608.934709	2395.279718	1010.177844	3441.28011	7600.531821	1257.101947	1327.917674	2434.292391	3708.089194	188340.7989	11199.43845	16274.94504	991.9708918	5801.161332	1285.168725	341.2870782	82848.08228	221322.02	2586.19175	375.1999425	532421.5482	248986.3453	421232.6501	208702.6125	221207.9646	634504.7046	635505.352	479531.2622	117236.4764	157195.9111	222218.5082	255607.1182	122670.3367	133824.236	159931.732	176381.9289	188002.741	165224.324	220389.632	432238.6239	372811.6338	353080.1218	307383.6983	285631.6006	146086.3523	165675.9266	205740.1374	194494.47	190115.7244	724161.9134	881767.8966	141345.2625	745736.5524	145994.0843	176570.197	223809.2347	352006.3627	348324.1064	43391.93592
CCV_02	Quality Control	11749.39033	5118.637312	17107.47798	20901.96336	29566.57023	22189.61286	25183.83474	29409.32237	37732.16636	38444.54929	35927.4429	31044.90447	24974.65884	20465.12924	38484.36622	56392.11674	41820.0811	42841.50573	46674.81849	52931.34057	71818.86424	67792.78325	29741.02449	38233.63157	6033.00136	9267.780921	9216.671228	12171.20669	11745.61252	12821.20928	14807.50883	38546.72028	16563.42943	21961.7411	66908.1917	86497.69082	6413.525571	7479.550444	30923.39081	8611.854971	7748.90275	20721.06046	28776.77793	12799.63915	17506.07114	7642.489517	3280.464355	6924.497598	18585.80501	3437.101599	4000.766435	6476.944131	9879.188279	514173.3292	31117.78392	48061.67291	2700.727416	17522.34191	3881.597059	2933.821795	218609.3604	650059.7489	6782.098449	1819.804771	400997.6521	241576.5146	422897.8254	199900.6218	209648	628382.9969	619422.9425	480319.4194	115834.1945	147197.3989	223623.2748	253853.2024	114571.6559	133360.7623	155242.9127	180730.0935	187327.4648	172074.5844	210812.6661	421080.9492	364508.5216	347510.2518	299964.0305	281662.4571	142150.0345	163617.2679	204815.4967	196411.1575	184386.7637	734865.26	910503.7252	136824.822	729441.223	145053.7257	170292.202	217462.3139	346762.0901	352230.565	52092.24191
SB_02	Unknown	19099.81373	N/A	2153.29846	598.0486741	5017.200111	N/A	N/A	N/A	N/A	N/A	N/A	616.1596106	6554.803064	N/A	1313.738371	12882.68017	418.4671504	7220.143463	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	401.060243	N/A	734.9927586	N/A	N/A	N/A	3774.675388	2479.55593	N/A	N/A	N/A	N/A	N/A	2085.036707	10698.66225	N/A	N/A	N/A	N/A	1520.408585	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1494.548782	N/A	N/A	N/A	1870.917987	N/A	1667.99331	N/A	N/A	12719.23435	2289.273999	118456.4411	91274.69917	130940.9181	178749.7334	213005.289	93208.12698	105869.7995	126644.211	143207.5637	142189.1083	106049.3983	170702.9657	349613.2891	319631.5768	257603.9754	241934.4385	235990.146	111981.8431	135505.1273	168742.5048	150817.3778	149606.1225	577056.1875	746436.4418	112052.8638	621289.2103	123226.4975	149632.6474	208284.6125	325433.7179	321914.7887	33621.06843
Pooled Sampled n:2	Unknown	12079.63422	2249.366193	19481.54646	8462.926887	26232.43378	8146.556717	N/A	4260.111469	N/A	1766.336708	N/A	485.8176095	19771.01074	36949.52528	66026.18005	449888.5267	48767.81582	2500117.926	8127.924858	2691.46553	1245.658065	N/A	11611.17505	16171.44119	N/A	N/A	N/A	N/A	2190.171023	N/A	1185.720271	N/A	N/A	N/A	6657.883734	638.9656847	N/A	N/A	N/A	N/A	N/A	2071.086407	33026.17405	3928.461587	1272.847306	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	600.6520703	N/A	N/A	N/A	4201.552471	N/A	1812.887815	719.5153368	N/A	14356.2839	3219.740628	303364.3378	100646.2826	136768.8756	188478.3065	234379.8606	106090.0181	121691.1754	139127.9452	154143.4998	157990.1263	125704.4944	182887.178	374447.408	316946.6836	316748.3563	257695.0011	250340.3056	124767.0263	144872.7594	182271.6179	165659.3452	161043.5231	612292.2826	812956.83	121915.7299	620725.924	124140.3367	148207.6368	201247.4619	317542.9929	315541.7757	37332.37476
LLCCV_03	Quality Control	11953.0597	1625.868985	7199.876936	9109.180663	13373.75542	8461.85494	9892.404551	9878.486809	13162.03665	13785.81377	12798.64739	11100.06918	14312.92559	7379.738711	15461.1486	26772.62205	14634.38518	19143.74691	15664.52333	18608.12075	25098.85388	23483.36372	10510.53623	14153.97066	2555.290184	3495.236021	3432.123111	4205.740535	4436.499422	4395.859242	5623.769486	13592.65059	6309.415981	7457.944845	25913.56558	31007.34387	2352.708449	3178.447861	12550.11299	2614.900699	2605.364333	9759.880381	15475.41986	4101.574425	5922.260773	2148.369292	578.3926935	4849.142471	7648.50199	1484.463616	1488.434465	2623.911329	3228.410195	175789.4763	10832.12428	15348.63675	934.1750849	6689.521275	1136.650009	467.7929298	81380.758	238960.2203	2747.664034	470.6149979	309401.783	241063.5673	421139.2731	217083.8192	209487.1918	636237.6635	624585.622	459421.369	110428.4155	152209.0156	220039.4795	254910.266	125900.8465	130198.043	155525.7283	176961.0289	189370.1479	172979.8889	214971.2321	438053.7635	367533.068	349852.4922	293199.8359	268871.7938	137027.5597	161668.9376	200305.8302	203779.6743	184057.4084	752255.2232	937765.7672	135945.1188	720203.7695	140759.9356	169743.2422	214563.9874	338243.2579	343149.3338	53955.80503
