Sample Name	Sample Type	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFUdA	PFDoA	PFTrDA	PFTeDA	PFHxDA	PFPrS	PFBS	PFPeS	PFHxS	PFHpS	PFOS	PFNS	PFDS	PFDoS	PFTrDS	Cl-PFOS	PFEtCHxS	FBSA	MeFBSA	EtFBSA	FPeSA	FHxSA	FHpSA	FOSA	FDSA	MeFOSA	EtFOSA	N-MeFBSE	N-EtFBSE	MeFOSE	EtFOSE	FOSAA	MeFOSAA	EtFOSAA	4:2 FTS	6:2 FTS	8:2 FTS	10:2 FTS	3:3 FTCA	5:3 FTCA	7:3 FTCA	6:2 FTCA	8:2 FTCA	10:2 FTCA	6:2 UFTCA	8:2 UFTCA	ADONA	9Cl-PF3ONS	11l-PF3OUdS	HFPO-DA	6:2 diPAP	8:2 diPAP	diSAmPAP	PFMPA	PFEESA	PFMBA	NFDHA	NIS 13C3-PFBA	NIS 13C2-PFHxA	NIS 13C4-PFOA	NIS 13C5-PFNA	NIS 13C2-PFDA	NIS 18O2-PFHxS	NIS 13C4-PFOS	EIS 13C4-PFBA	ESI 13C5-PFPeA	EIS 13C5-PFHxA	EIS 13C4-PFHpA	EIS 13C8-PFOA	EIS 13C9-PFNA	EIS 13C6-PFDA	EIS 13C7-PFUnA	EIS 13C2-PFDoA	EIS 13C2-PFTeDA	EIS 13C2-PFHxDA	EIS 13C3-PFBS	EIS 13C3-PFHxS	EIS 13C8-PFOS	EIS 13C2-4:2FTS	EIS 13C2-6:2FTS	EIS 13C2-8:2FTS	EIS 13C8-PFOSA	EIS D3-NMeFOSA	EIS D5-NEtFOSA	EIS D3-NMeFOSAA	EIS D5-NEtFOSAA	EIS D7-NMeFOSE	EIS D9-NEtFOSE	EIS 13C3-HFPO-DA	EIS 6:2 FTCA	EIS 8:2 FTCA	EIS 10:2 FTCA	EIS 6:2 UFTCA	EIS 8:2 UFTCA	EIS 10:2 UFTCA	EIS 4 8:2 diPAP
LLCCV_01	Quality Control	15919.46066	1588.772455	4794.366687	8064.080505	8109.839422	6409.36962	7006.250134	8113.56642	9944.477549	10180.05273	8559.643959	6891.57984	17053.10985	6909.588997	13308.96451	14413.45193	12422.67939	12024.28174	12982.07624	15678.99708	20145.1204	18259.22751	8729.82949	11175.01158	2081.342475	2690.904448	2490.264227	3679.149264	3424.309945	3330.480533	4504.136495	11697.79737	5620.086349	6429.008083	22393.95615	27844.05995	1722.27704	1103.887379	8066.043718	1915.820675	2246.319231	10097.87221	9211.977102	3632.538587	4589.972093	1744.215817	702.201284	2107.440092	6161.379961	852.5996404	1037.489904	2012.193093	2349.383153	176224.4907	10333.16714	12595.79911	1066.273642	4975.073127	N/A	N/A	47664.10154	214339.6359	2046.297214	663.5174718	N/A	211135.0333	337093.5355	156300.688	171302.6075	524614.1788	522051.3259	N/A	94506.40316	131048.5444	178896.0899	199630.681	87811.78824	105208.0107	126398.9154	145401.0592	146137.8347	103311.0417	193681.6043	351082.171	301879.0797	349678.8205	313724.0647	205760.0901	126419.7564	148111.4602	191178.1523	154363.8876	150120.9248	575468.8665	663032.9255	115262.0994	543100.1341	90227.05141	135477.0732	200370.2199	247290.5983	288452.9465	32995.78748
CCV_01	Quality Control	14885.62902	4724.749963	14507.00943	18684.31409	21967.05991	18682.81413	20954.19581	24385.55992	30335.43408	36618.8391	35234.07485	26601.95825	21323.01702	21538.84851	35583.57593	37876.28885	34450.00527	30329.18112	38860.79551	46647.00122	64847.01557	55477.88483	24409.51324	32973.21221	5005.563835	8298.049283	N/A	10843.99758	9496.204132	9855.964662	14515.45193	33046.65766	15092.10949	20761.16562	55716.17471	68435.35173	9012.547693	9362.144556	26712.08607	6630.830185	7656.701332	22650.12739	20268.80847	10633.06632	14167.12292	5345.87224	2542.745191	5590.140465	15672.15855	2600.753275	3354.411718	6492.684099	7593.05215	422287.4921	26275.21478	38260.73948	3200.167562	35044.20554	5931.11775	1629.708114	135923.4691	582411.0141	6316.780147	1592.264038	N/A	224128.6761	355255.5358	167491.3431	186791.2752	553629.0606	530399.3855	N/A	98662.54833	141396.875	191992.9484	209608.6826	94838.962	112470.2893	134646.2651	153510.7631	197012.479	167873.1905	209780.8214	370012.1308	311463.1435	372216.7844	333333.7095	213141.9753	140096.8132	149033.8356	198721.0704	159522.8218	163765.3401	995402.7276	1129553.726	126556.2925	609015.0476	96863.58035	141197.0917	224195.7862	266536.3787	311193.9977	56240.13089
SB_01	Unknown	12861.49708	N/A	2167.661035	N/A	1999.709539	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13807.33818	4267.142357	N/A	1185.032689	N/A	690.842343	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	69757.37776	N/A	N/A	N/A	N/A	N/A	N/A	2441.714981	1171.413322	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	496.6467096	N/A	N/A	N/A	N/A	102743.429	162583.7284	77932.75897	82152.72941	260061.6125	249328.2131	N/A	76907.09971	109456.6505	150949.2356	165716.9899	73951.255	86125.88822	102702.144	120504.2552	112902.0087	89398.55017	159449.3579	285186.649	245645.7758	283073.9375	261090.9322	162922.7435	106819.5379	122159.1857	149209.2286	120872.0181	124423.7279	481109.7606	575049.6387	97402.6698	509647.5225	82883.93352	116480.388	183142.4469	217157.4612	253924.7244	30278.85943
Pooled Sampled n:1	Unknown	9002.495623	13582.80279	130729.5818	56799.93295	188569.5489	53554.48929	1075.794811	26893.49628	544.6259604	10530.97605	N/A	N/A	93526.73918	318094.148	501355.7119	2988606.492	358480.702	13890991.16	62011.8566	29410.90908	15599.08022	7744.17113	76997.5725	119385.065	1403.666757	N/A	N/A	1613.782792	12088.3385	N/A	878.3072539	N/A	N/A	1343.372983	74169.45887	1418.264278	N/A	422.5370901	N/A	N/A	N/A	3232.438581	208449.668	21514.67448	8201.142811	N/A	N/A	2025.2504	1273.372798	N/A	N/A	1509.364402	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1799.445253	1264.452165	N/A	N/A	N/A	104994.1268	165362.9057	66547.63315	82601.21591	248730.0729	162681.9589	N/A	81533.1085	113063.5014	150903.9101	171742.8099	65607.89438	86617.23122	103774.709	121947.9535	116685.9332	89701.74587	165453.657	291980.7962	168569.7629	284776.4067	269204.5932	145852.1593	109568.4307	124796.973	156836.3598	130178.0449	131412.5794	485120.7096	552283.739	94098.52853	516251.715	81011.26877	119610.2378	178929.4017	216033.7114	254612.5524	26273.87397
LLCCV_02	Quality Control	7488.872507	1451.348515	5688.05913	7421.868596	8870.215057	5995.520464	7473.283055	8351.702756	9879.896839	11324.18275	9041.410454	7188.469997	17747.05525	7065.033917	12262.11596	14925.67113	12504.2531	11831.22928	14204.66093	15471.49098	21877.9034	19121.22985	8929.406589	12556.79603	2023.989172	2941.915938	3000.869162	3762.996758	3803.720989	3413.8276	5325.071985	12563.67613	5621.470269	7557.909733	20641.06952	24242.45215	1624.721399	1821.89304	N/A	2278.632312	3025.726439	9008.256392	7341.79612	3811.357191	4512.909326	1968.146555	517.7379847	3991.673428	6371.163363	775.6227457	960.4099183	2490.796571	2669.29823	169504.6527	10722.3889	13235.78314	1038.845552	4161.570392	1163.812028	N/A	41625.99322	217661.6299	2142.758959	N/A	21735.93679	214180.0436	366845.7379	158544.7413	181913.6425	585074.2176	562022.5815	23703.72782	95321.7124	132112.6073	199274.4953	220251.149	91625.90529	111886.5516	132162.2952	147341.1814	159069.4882	118363.2427	198444.2677	387857.0452	331507.3424	334948.4549	299583.8273	210607.0605	148124.2238	151689.244	193312.0403	166582.5711	167060.4812	617868.498	718171.6896	122202.62	568061.8367	98670.18043	144152.8712	204928.1826	270229.5492	319528.907	32163.38529
CCV_02	Quality Control	15177.57653	3953.603154	11597.36194	20154.16756	23073.53714	18051.49423	21605.22059	24185.32838	29053.17587	32913.07549	28016.51162	18753.8279	16996.08306	19596.74647	33620.07056	36250.40661	34966.30216	30481.7556	37857.64635	45242.04184	59544.48266	51144.13383	25093.99999	35422.30334	6265.718306	7636.91668	8140.217791	11422.11719	9533.64354	10799.75536	14520.03448	34223.84846	14698.34544	18510.32246	54355.04057	62945.83714	5224.83593	6903.498621	26435.41488	7289.64142	7244.451534	17553.03626	16309.18819	9442.259876	13754.05216	4651.771572	2363.956669	3466.198979	17080.99839	2498.95643	3177.391436	6446.839428	7553.072345	436172.843	27468.35772	38366.14852	2989.353891	12458.5341	2016.225842	1409.499714	115978.4398	540008.9682	6513.291528	1197.345676	20880.85885	213229.1924	376365.0249	161319.081	178086.7604	574366.4399	545335.2971	27539.0246	97721.90143	132655.667	206297.2118	220474.4254	92743.26292	110757.6973	133065.0745	152495.7258	156990.3975	115937.73	198259.3181	385331.9817	320757.6302	303733.3425	302549.7507	216100.3022	140180.9472	147067.6428	192293.733	159550.4234	164730.0808	618795.3335	747563.6757	121345.1269	540330.9803	99338.98434	142331.5072	201944.5509	258689.9482	317948.5922	28929.57282
SB_02	Unknown	7580.497359	N/A	1429.629739	N/A	2256.365771	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13385.71596	4408.087469	N/A	989.9186627	N/A	551.7402197	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	72966.897	1404.435333	N/A	N/A	N/A	N/A	N/A	1861.57663	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9586.439896	98043.63321	165418.0381	70210.74804	79728.17248	270219.0126	260386.6758	26457.09443	76820.38406	102077.6885	147935.3648	167520.9214	68359.49533	82487.97332	101057.2842	113977.512	110759.0763	89794.47784	153993.2605	295116.0053	263540.1259	264353.9649	214559.0361	155045.326	110301.0726	116983.5046	147564.9296	129412.2424	129249.9812	481108.673	581453.3104	92214.73141	478113.4331	86644.55748	118659.0148	163507.6695	216774.0331	248836.8815	26051.82477
Pooled Sampled n:2	Unknown	6902.480385	13170.70659	117481.5545	52815.72679	188513.9419	49547.83447	1055.83076	24696.63696	N/A	10683.62735	N/A	N/A	95412.77232	292753.3203	473951.1736	3045862.981	352304.534	14137591.23	61120.98884	29223.24151	15825.31263	7531.894101	79028.50731	117776.4043	1573.497379	N/A	N/A	1779.612243	12538.88533	N/A	1019.870835	N/A	N/A	1684.882565	69345.14488	1121.908985	N/A	532.568599	N/A	N/A	N/A	2355.606787	171357.4757	20185.37631	9585.758213	N/A	N/A	N/A	N/A	N/A	N/A	1267.184321	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	916.832171	929.50739	N/A	N/A	N/A	95577.58309	161178.2697	65295.15185	79986.10521	253782.9597	172124.4184	N/A	79791.70477	99788.46605	151170.4256	172306.2992	63821.24532	83172.42727	97890.47205	112520.0298	121403.6967	89931.16742	155698.8889	291405.178	169392.736	260804.1476	225896.1766	141111.8273	117189.1542	121725.1763	149722.8301	130825.5794	128095.7739	487562.9627	608337.6242	86878.61289	499973.9995	83140.27092	119504.3629	160078.9433	211717.894	256849.2318	22822.88639
LLCCV_03	Quality Control	9190.310177	1331.654199	4858.035221	6879.529795	8867.503961	7787.150554	6907.553792	8430.344296	10207.00549	11921.45397	10340.60808	7555.261833	18168.02462	7220.249432	13094.25774	15780.48074	12326.69569	11744.88716	13219.94574	16133.07673	19661.41878	17995.94874	9187.305179	12880.31036	2236.71186	2827.594341	3052.801788	3904.607148	3389.558885	4208.856015	5745.88199	12465.23448	5625.82433	6812.967611	19348.87659	26708.66056	2281.572824	2612.262498	N/A	2043.215824	2741.515266	8755.798807	6362.373903	3554.004847	5600.885006	1976.74424	844.1737625	2124.076435	5483.947541	718.3043238	944.1494139	1911.782535	2969.842489	171938.3883	10092.38496	13473.48355	1117.570138	4896.072479	710.0446786	N/A	50359.42582	204826.7562	2259.330292	752.3316447	24976.6678	202107.8913	363949.6565	163988.7619	173026.6816	567166.8497	568472.056	40965.23116	94466.1464	126978.5573	188342.2677	216663.9785	92651.04221	105880.0004	131406.4802	147581.5883	155343.2571	121645.7685	195905.8173	376890.6374	332216.4817	329674.3759	242075.1252	206396.1756	156799.5112	151798.8117	184888.9897	166026.931	165809.1053	633463.8907	771253.0222	118462.6492	549424.0522	104157.7591	145182.8976	189323.5415	274284.2765	307310.5163	35070.89272
CCV_03	Quality Control	7081.658141	4144.40175	11665.8518	18658.67904	22503.89156	18357.30741	22185.81121	23873.84776	29970.53259	33022.44472	26463.52786	18891.8906	20117.28237	19319.53968	32592.82777	37309.36607	34309.03156	30596.14586	34942.98066	44578.71366	59078.77041	50330.15325	24864.57104	33894.61037	5765.377753	7630.631437	7714.668704	10599.04173	10415.8652	11901.21609	15599.17825	33986.4818	15125.26097	19575.36584	56162.01687	67546.00758	5156.387685	6861.551319	N/A	6873.873563	7023.973221	18878.7769	13219.18218	9924.071381	13038.16528	5287.508152	2264.875607	5327.926164	15533.42798	2874.487737	3060.387824	5476.49656	7851.913301	410760.9224	26907.94199	37181.64429	2683.841006	11264.08168	3094.268376	1460.225285	125341.6206	496658.3903	5870.107491	3066.414779	25150.85936	209267.6492	364086.0923	166672.03	171854.185	561141.2804	569372.5733	35389.04052	94762.38729	128553.1148	187597.1147	212741.7167	92779.82826	105434.5178	131562.7442	153740.9306	144587.006	108917.7392	201248.9993	378594.6207	330648.1723	326602.7991	240306.6022	203627.2913	160708.3729	151996.0214	191216.505	161622.4786	166490.1531	580887.5124	691201.5565	114761.9096	520239.7545	98998.94338	141187.7596	187429.8565	273870.7576	311336.9918	30851.78752
