Sample Name	Sample Type	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFUdA	PFDoA	PFTrDA	PFTeDA	PFHxDA	PFPrS	PFBS	PFPeS	PFHxS	PFHpS	PFOS	PFNS	PFDS	PFDoS	PFTrDS	Cl-PFOS	PFEtCHxS	FBSA	MeFBSA	EtFBSA	FPeSA	FHxSA	FHpSA	FOSA	FDSA	MeFOSA	EtFOSA	N-MeFBSE	N-EtFBSE	MeFOSE	EtFOSE	FOSAA	MeFOSAA	EtFOSAA	4:2 FTS	6:2 FTS	8:2 FTS	10:2 FTS	3:3 FTCA	5:3 FTCA	7:3 FTCA	6:2 FTCA	8:2 FTCA	10:2 FTCA	6:2 UFTCA	8:2 UFTCA	ADONA	9Cl-PF3ONS	11l-PF3OUdS	HFPO-DA	6:2 diPAP	8:2 diPAP	diSAmPAP	PFMPA	PFEESA	PFMBA	NFDHA	NIS 13C3-PFBA	NIS 13C2-PFHxA	NIS 13C4-PFOA	NIS 13C5-PFNA	NIS 13C2-PFDA	NIS 18O2-PFHxS	NIS 13C4-PFOS	EIS 13C4-PFBA	ESI 13C5-PFPeA	EIS 13C5-PFHxA	EIS 13C4-PFHpA	EIS 13C8-PFOA	EIS 13C9-PFNA	EIS 13C6-PFDA	EIS 13C7-PFUnA	EIS 13C2-PFDoA	EIS 13C2-PFTeDA	EIS 13C2-PFHxDA	EIS 13C3-PFBS	EIS 13C3-PFHxS	EIS 13C8-PFOS	EIS 13C2-4:2FTS	EIS 13C2-6:2FTS	EIS 13C2-8:2FTS	EIS 13C8-PFOSA	EIS D3-NMeFOSA	EIS D5-NEtFOSA	EIS D3-NMeFOSAA	EIS D5-NEtFOSAA	EIS D7-NMeFOSE	EIS D9-NEtFOSE	EIS 13C3-HFPO-DA	EIS 6:2 FTCA	EIS 8:2 FTCA	EIS 10:2 FTCA	EIS 6:2 UFTCA	EIS 8:2 UFTCA	EIS 10:2 UFTCA	EIS 4 8:2 diPAP
LLCCV_01	Quality Control	3809.213564	1172.202059	3631.941665	5194.24293	6485.089765	4988.552185	5436.243943	5763.95689	7427.548992	8848.793591	8594.988734	6422.808054	10316.07458	8489.322865	8234.305345	8737.769559	8121.540851	6892.245797	7561.159847	8472.420668	11690.31228	11271.93822	5665.462065	8125.136289	1492.635403	2371.969476	3022.204512	3051.077825	3029.513334	3856.31296	4739.351012	8616.546464	4727.63385	6059.782019	65847.95918	12432.52814	860.4774463	1266.872301	5850.673694	1316.806889	1541.977902	5876.559809	4613.402452	3836.01481	4003.282077	774.2790083	377.1656669	1188.251448	4309.419425	360.6308188	380.1884232	2018.845026	1821.293541	93114.46276	6467.047978	7101.383717	569.5135304	4649.64404	1886.586149	N/A	22596.40735	111928.8508	1902.99264	304.6555037	N/A	99681.80929	163998.1459	80373.23476	82811.8064	256390.2452	227555.4242	N/A	63378.55528	73820.07859	117910.7817	128034.0538	60360.59759	65989.45341	79708.99168	95046.79343	115432.9117	81638.41082	105246.2513	218698.6169	172911.0089	186695.4375	194475.7902	183313.414	117991.0514	113638.0988	150196.3764	95297.12549	100822.2674	308970.7916	375810.655	77828.32823	412169.2094	60328.94557	65006.86	175858.6155	177952.612	185461.0402	53399.12968
CCV_01	Quality Control	3321.361395	3107.716829	8354.584618	12907.59265	15181.10732	12563.00553	12579.94749	14668.88375	18717.80173	22286.969	21227.65916	16743.15265	13016.69192	17101.97522	20473.91542	23720.49767	19962.12594	18222.95933	19211.14814	21852.22754	29216.32912	26307.34191	13334.27152	19658.19432	4068.933209	5631.247693	5570.773908	8682.296284	7888.695472	10327.49522	12780.50331	20234.22291	12690.32216	14704.51192	94235.34384	31347.99667	3154.31154	4028.494774	16928.83995	4136.566617	4569.647679	12149.67074	11631.34479	8982.949258	10712.4417	2844.541126	2186.541104	2258.472982	9975.7261	1143.218936	1496.5454	5703.837884	4521.993287	215542.3216	14789.09905	20754.43315	1781.120228	13442.58935	7040.720258	1641.720778	62968.83881	288666.8806	4010.243394	641.6191802	N/A	77253.80383	123344.0078	60113.76871	61499.61246	199185.1014	178093.2411	N/A	60685.57544	75641.87808	113122.1572	126229.4792	57645.66451	62655.58384	77217.03048	93904.44889	110389.868	91059.01813	104107.9762	213719.7262	172563.8319	185445.3502	187597.3372	173330.5709	116998.5078	111029.6037	136823.6485	100920.8262	99375.60746	314385.4158	395135.0879	76486.43561	383865.4585	61235.98356	66871.54689	169597.9359	171579.0508	183228.9421	61802.00309
SB_01	Unknown	3997.410534	N/A	1273.221689	N/A	1222.377769	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12849.88692	3667.423664	N/A	544.2553378	N/A	710.1509746	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	54664.12575	296.6984168	N/A	N/A	N/A	N/A	N/A	1817.317686	1755.485438	N/A	N/A	N/A	N/A	N/A	946.204857	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7232.793831	83779.7639	141015.8495	68609.0687	68292.53063	219013.9335	195981.1032	N/A	82278.15536	97437.51651	157015.7176	170608.1195	78240.40531	85163.82031	108864.653	125626.1263	134542.0899	110339.5838	143905.4126	289193.5058	232641.0524	247896.2944	255747.3284	228083.1405	155748.6633	150969.9674	189923.5989	131943.9597	141361.3627	385148.6599	457945.3746	101598.0701	512366.4605	83609.97797	91090.47981	236654.5835	244680.3961	256601.2335	71649.33697
Pooled Sampled n:1	Unknown	3381.53063	9478.688333	86916.87075	37898.93449	119287.392	39793.69663	588.2360237	17740.56779	N/A	7788.697416	N/A	N/A	60603.28517	183701.3396	299262.7499	1990465.866	207549.0268	9831583.454	34231.01186	15434.63957	8479.001431	3789.397077	47594.96811	70625.47139	696.5069369	N/A	N/A	981.2859016	11275.97451	N/A	1500.599836	N/A	N/A	N/A	55720.51633	1922.948701	N/A	N/A	N/A	N/A	N/A	1825.994712	130213.2475	18910.09495	6898.437955	N/A	N/A	N/A	1533.306319	N/A	N/A	1676.172005	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1154.327261	N/A	N/A	N/A	N/A	64709.52508	103791.2548	48275.09914	52878.96787	162748.3565	127728.8135	N/A	56448.06981	63510.62916	99981.38846	108609.82	44480.94841	54377.78723	68816.04687	83184.18839	91985.19811	65270.29251	95080.80318	187611.5078	120053.1138	165757.6115	172230.3253	127895.3568	95208.48396	98616.64954	133046.3507	86269.67227	88040.05967	252157.3031	296317.3321	66814.66719	348487.6039	52060.76775	56967.83772	143667.2083	142516.0447	160966.1544	39392.86415
LLCCV_02	Quality Control	3901.891258	1498.210011	4254.290585	5471.681389	5746.776047	5099.379842	6076.724488	6592.147902	8043.125772	8559.525423	7790.978274	4342.749124	15781.34338	7512.212068	8226.758626	9662.588508	8336.595538	7249.314406	7748.83357	9209.383922	11517.71922	9669.26007	5672.182219	8294.128157	1474.36168	2247.511647	2715.721764	2382.280068	2698.812259	2767.232324	5400.061454	7998.614139	4461.894249	6647.267621	54635.73351	14457.83596	948.2538239	1204.141536	6207.070166	1424.523377	1640.614872	6705.762061	4974.178396	3211.08728	4202.36185	N/A	750.2597772	1078.963556	3868.49142	417.3216868	N/A	1871.866502	1443.631506	101305.2494	6366.192708	7096.102711	642.7830751	4853.968535	1148.520752	N/A	27622.78044	114642.9959	1620.059663	N/A	13238.51743	104647.8747	175253.2991	85933.38142	90107.77693	282131.1649	250488.7339	21371.70886	64618.29626	76772.74721	121887.1665	133347.6385	64109.12771	70346.96141	81290.59976	97148.60787	101634.7661	74777.06411	114332.6586	231561.8668	182404.367	187242.2645	200689.7424	176211.7766	120153.3279	108855.9065	147086.2471	106760.2812	110236.4205	285881.0529	341699.2388	80087.11117	347133.493	60977.60038	61084.92857	173365.0109	196102.9574	192414.967	41645.25247
CCV_02	Quality Control	3619.309277	3234.233196	8352.040869	12432.28058	15096.17242	12442.39438	15059.96126	15159.8435	20947.87668	21909.42641	21384.06646	13624.00431	8651.507643	18116.4782	21247.71851	23409.25073	21178.02231	18586.53599	21111.92227	22523.47422	30428.53297	27800.67592	14265.11441	20436.48278	3533.662192	5380.279038	7106.661211	8105.440261	7857.876874	9436.309643	13033.88003	20825.59972	11542.36876	15341.4059	71354.25779	30622.605	2829.866733	2942.24083	18816.9391	5012.641197	5051.706143	13137.40306	11468.74754	9192.733092	10116.05213	1343.944701	1554.271943	2265.138651	11470.04664	1630.382272	1502.630306	4720.061989	5704.671341	242885.4045	15310.86825	19988.71752	2072.938281	12796.33658	4855.532938	1819.792544	82205.26826	280449.6205	4088.224601	798.0935894	9724.564245	89255.40424	149723.989	74744.15578	76319.7445	234808.9598	207535.1013	14785.37553	63273.22522	77260.40816	118412.0188	132823.8607	62507.87982	70069.29633	79620.68387	101337.1311	108182.3309	76980.1168	111310.9963	224287.0409	178406.5898	202762.5599	197366.5957	178478.3586	123034.1943	112838.4577	148808.638	108580.5646	104251.385	275298.8064	336466.2909	78948.14645	374043.8549	62124.76317	65044.86904	166218.8684	190972.4727	195103.3699	42943.16278
SB_02	Unknown	3434.563315	N/A	1084.946497	N/A	1321.756493	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6010.316016	3719.145575	N/A	N/A	N/A	624.0301671	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	61935.42814	378.0955265	N/A	N/A	N/A	N/A	N/A	1950.180329	2071.893742	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	86817.42193	144443.2419	69928.41934	73287.82915	228821.2636	197932.118	N/A	83678.67338	101766.1001	159388.1778	176762.0593	82363.67946	88846.48592	107989.3943	120143.9048	127748.2195	98986.12423	150701.9001	301335.2237	231917.6158	258882.5364	254720.5036	237860.2071	156983.4515	147682.5458	179929.5422	134696.308	143024.7688	362203.7933	437425.5693	103676.7376	482023.8389	83344.17068	87960.54037	228888.8837	258264.9134	261086.4158	61671.6083
Pooled Sampled n:2	Unknown	2783.712333	9825.201189	77749.02576	33551.71458	107474.9089	36317.99509	517.6403863	15032.06311	N/A	6303.289897	N/A	N/A	55725.13808	165989.9999	263844.0568	1808063.939	182185.3402	8771624.893	29647.1041	13216.31324	6347.302822	2982.591847	41916.69188	59978.70926	599.8948667	N/A	N/A	1229.813192	7831.345525	N/A	1129.634552	N/A	N/A	N/A	40748.33585	694.7162201	N/A	N/A	N/A	N/A	N/A	1854.857405	120260.2631	16795.92902	5627.444868	N/A	N/A	N/A	707.5287719	N/A	N/A	955.6107449	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	59215.62268	89677.1532	43198.37068	44631.6094	145337.6463	106092.1144	N/A	51389.63319	64904.3211	91978.1515	99466.62668	44250.44854	49261.50997	57510.79356	69360.57756	73698.07781	52832.21367	93885.8648	172850.4592	107465.1094	163598.4634	161738.2202	118066.8083	82572.75034	81786.4426	103761.4188	81166.82861	79982.42949	207689.8512	246975.6548	60496.16493	301982.6864	46354.19986	50859.70926	129262.3095	138498.3826	142743.6093	28787.31445
LLCCV_03	Quality Control	3736.468318	1202.347006	3646.436436	5692.505489	6383.246303	5791.654012	6399.753868	6369.11143	7719.033244	7430.841072	7401.045153	5533.515925	10762.16722	9400.962457	8805.20562	10359.51858	8442.381446	7333.521506	7839.519826	8047.738348	12067.25941	9718.402009	5776.436521	8027.812283	957.9230991	2401.732792	4102.65907	2205.99244	2662.103304	3918.46586	5157.97104	7953.319529	4647.610369	6038.868873	51815.44416	13844.30514	1067.141096	1181.753071	5826.078368	1504.881669	1583.731011	7409.107956	5164.527007	3640.713026	4217.865011	1334.725003	749.3147252	994.4981757	4717.999757	673.3440549	458.455247	2165.690763	1972.425502	110281.3566	5650.274022	7782.741737	662.0926455	4260.816567	1373.312272	657.0713786	38959.51149	128406.2379	1427.842421	N/A	12746.4665	112614.224	190863.2111	94432.93692	92177.43992	306124.2393	263570.9411	N/A	69379.32424	83430.1109	130830.2904	145324.6966	67480.02965	70315.78049	83248.56436	98865.47543	104226.647	85634.21799	127501.6438	248087.1922	186670.3536	228670.3575	208660.5112	191311.8889	124214.1705	118018.7494	148017.4144	109183.2959	115147.9376	276659.5612	333351.9228	80135.27064	377510.9654	63899.01649	64281.67339	183211.1372	213004.425	205230.5547	37534.03209
CCV_03	Quality Control	4232.547434	3379.378741	10452.99253	13500.86671	15271.55582	13932.68921	13983.56331	15526.8355	18834.83387	21282.58068	20153.98423	12894.81553	8770.821396	17949.43728	21671.7965	24936.38583	21396.55155	19109.18075	18812.76749	23332.64434	31120.37521	26037.97638	14308.53	21084.85029	3879.627292	4895.541634	7138.243526	7138.898922	7412.384521	9393.25807	14524.08066	19207.6311	12026.46275	15647.08849	72651.97128	31750.81083	2847.368695	2975.076086	N/A	5035.039103	4542.570713	13914.66566	12833.22746	9263.348122	10497.41832	3706.77261	2067.09034	3430.322736	13280.63114	1736.868001	1359.353038	5760.666522	6039.731131	231511.0396	15936.79185	19751.22206	1492.299795	10841.37429	4230.355915	1572.36791	64943.30146	315971.2722	4676.943416	755.7615652	16266.91876	97487.74283	162805.1207	77849.6356	79162.06274	262474.2698	229584.8334	29923.34559	63740.36342	77837.33326	132198.6442	137759.6842	63394.36724	71790.07886	79257.94079	95975.61492	102873.6913	77106.07276	121549.3272	240505.88	187587.7471	195828.4532	208584.7407	182636.7759	124673.0216	110401.8522	147981.779	110415.1224	101746.0373	278802.302	331692.76	81653.98773	368564.9178	64209.09244	61561.10993	175564.77	204508.5947	196701.8991	32817.62305
