"name","INCHIKEY","FORMULA","SMILES","ID","CAS","MONOISOTOPIC_MASS","parent","transformation","generation","Type","biosystem","REF","NumHDonors","NumHAcceptors"
"Atrazine","MXWJVTOOROXGIU-UHFFFAOYSA-N","C8H14ClN5","CCNc1nc(Cl)nc(NC(C)C)n1","input_suspect_testdata_1","1912-24-9","215.093773128","Atrazine","no_transf","0","PC",NA,NA,2,5
"S-Metolachlor","WVQBLGZPHOPPFO-LBPRGKRZSA-N","C15H22ClNO2","CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC","input_suspect_testdata_2",NA,"283.133906624","S-Metolachlor","no_transf","0","PC",NA,NA,0,2
"6:2 fluorotelomer sulfonamido propyl methyl amine","ATVLXKVTLCASLQ-UHFFFAOYSA-N","C12H15F13N2O2S","CNCCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","input_suspect_testdata_3",NA,"498.06466558","6:2 fluorotelomer sulfonamido propyl methyl amine","no_transf","0","PC",NA,NA,2,3
"Atrazine-TP1","NFMIMWNQWAWNDW-UHFFFAOYSA-N","C8H15N5O","CCNc1nc(O)nc(NC(C)C)n1","1",NA,"197.1276601","Atrazine","Aromatic Halide Photohydrolysis","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",3,6
"Atrazine-TP2","KIGOTEDYNQVLGZ-UHFFFAOYSA-N","C8H12ClN5O","CC(C)Nc1nc(Cl)nc(NC(C)=O)n1","2",NA,"229.073037684","Atrazine","s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",2,5
"Atrazine-TP3","DFWFIQKMSFGDCQ-UHFFFAOYSA-N","C6H10ClN5","CC(C)Nc1nc(N)nc(Cl)n1","3",NA,"187.062473","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",2,5
"Atrazine-TP4","IVENSCMCQBJAKW-UHFFFAOYSA-N","C5H8ClN5","CCNc1nc(N)nc(Cl)n1","4",NA,"173.046822936","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",2,5
"Atrazine-TP5","DWWKJVDRGAIXJI-UHFFFAOYSA-N","C8H15N5","CCNc1ncnc(NC(C)C)n1","5",NA,"181.13274548","Atrazine","Aromatic Photohydrodehalogenation","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",2,5
"Atrazine-TP6","PXIUCQKUBNRZIR-UHFFFAOYSA-N","C7H10ClN5O","CCNc1nc(Cl)nc(NC(C)=O)n1","6",NA,"215.05738762","Atrazine","s-Triazine Side Chain N-isopropyl Photooxidation to Ketone","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",2,5
"S-Metolachlor-TP1","DVBDYPDVNRJKNJ-UHFFFAOYSA-N","C14H19NO2","CCc1cccc(C)c1N1C(C)COCC1=O","1",NA,"233.141578848","S-Metolachlor","Acetanilide O-dealkyl Dehalogenative Photocyclization to Morpholinone","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",0,2
"S-Metolachlor-TP2","FOCAUTSVDIKZOP-UHFFFAOYSA-N","C2H3ClO2","OC(=O)CCl","2",NA,"93.982157016","S-Metolachlor","N-aryl Amide Photohydrolysis","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",1,1
"S-Metolachlor-TP3","YXWIRQHVEQIJOV-UHFFFAOYSA-N","C13H21NO","CCc1cccc(C)c1NC(C)COC","3",NA,"207.162314292","S-Metolachlor","N-aryl Amide Photohydrolysis","1","TP",NA,"CTS_combined_photolysis_abiotic_hydrolysis",1,2
