"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID101035865","NOCAS_1035865","KAKCXEYGKQVTLB-UHFFFAOYNA-N","C11H18F5NO5S2",403.054655776,"CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID50896637","27619-94-9","CJZMVGPCWZSDSZ-UHFFFAOYSA-M","C8H4F13NaO3S",449.957126128,"O=S(=O)([O-])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID50222654","72307-48-3","DRRQILIGDQBMTB-UHFFFAOYSA-N","C20H10F6N4O",436.07588026,"O=C(c1nnc2c(-c3ccccc3)cnn2c1-c1ccc(F)cc1)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID001035517","1270179-74-2","YLXKUKZPBUXBRV-UHFFFAOYSA-N","C5H6F7NO2S",277.000746972,"CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID30526480","89810-85-5","CKSNUONHAYYEEM-UHFFFAOYSA-N","C10H9F10NO",349.052446108,"O=C(C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)N1CCCC1"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID30840850","922141-42-2","QIURQCUBECVMOT-UHFFFAOYSA-N","C10H8F4",204.056213136,"Cc1cccc(C2C(F)(F)C2(F)F)c1"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70195598","42977-21-9","PFSDZNASIFXROJ-UHFFFAOYSA-N","C20H8F34S2",957.952451736,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID401026811","NOCAS_1026811","XWKHVYYVLSSVEW-UHFFFAOYSA-N","C5H7F7OSi",244.015438914,"C[SiH](C)OC(F)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID901022769","14160-54-4","CGZJJVPVIBKJNG-UHFFFAOYSA-N","C11H10F4O2",250.06169244,"CCOC(=O)C(F)(F)C(F)(F)c1ccccc1"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70886858","67674-48-0","QGSVBFAODCJVIZ-UHFFFAOYSA-N","C10H8F6O3S",322.009834436,"Cc1ccc(S(=O)(=O)OC(C(F)(F)F)C(F)(F)F)cc1"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID4067513","29809-34-5","AQDHOJSLSYFQND-UHFFFAOYSA-N","C20F41I",1145.83900502,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I"
