"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID00108075","274917-96-3","-","-","-",NA
"DTXSID00108095","160901-25-7","-","-","-",NA
"DTXSID00108732","149935-01-3","-","-","-",NA
"DTXSID00145182","102488-47-1","AKYGPHVLITVSJE-UHFFFAOYSA-N","C10H10ClF13Si","440.00327139","C[Si](C)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00166413","1584-03-8","FAEGGADNHFKDQX-UHFFFAOYSA-N","C6F12","299.98083864","FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F"
"DTXSID00184314","3021-63-4","OBAVAMUHCSFDSY-UHFFFAOYSA-N","C10F22","537.96487084","FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
"DTXSID00184995","3102-79-2","PVBMWIXRKLGXPI-UHFFFAOYSA-N","C11H7Cl2F17Si","559.942261854","C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00187143","335-65-9","KBHBUUBXEQUIMV-UHFFFAOYSA-N","C8HF17","419.980679772","FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00188993","355-17-9","XJYXROGTQYHLTH-UHFFFAOYSA-N","C5H3F7O","212.007212256","CC(=O)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00188998","355-63-5","CDAVUOSPHHTNBU-UHFFFAOYSA-N","C7F14","349.97764508","FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00189465","359-71-7","KCOKATNPCXDTEB-UHFFFAOYSA-N","C6F13N","332.98231586","FC(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F"
"DTXSID00190839","374-97-0","SZBKCQKJQAYJJN-UHFFFAOYSA-N","C4H2ClF7","217.973325284","FC(F)(F)C(F)(F)C(F)(F)CCl"
"DTXSID00190950","375-82-6","STLNAVFVCIRZLL-UHFFFAOYSA-N","C7H3F13O","349.997631576","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00192353","39108-34-4","ALVYVCQIFHTIRD-UHFFFAOYSA-N","C10H5F17O3S","527.96879476","O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00194615","4180-26-1","QXDKTLFTMZTCKT-UHFFFAOYSA-N","C12H6F16O2","486.011230952","C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
"DTXSID00195203","424-37-3","ABKMQSRPKFUWEH-UHFFFAOYSA-N","C7H3F9O2","289.998933316","C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
