"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
1,NA,"UEYXJPFQJDFMGD-UHFFFAOYSA-N","C8HF13",343.987066892,"C#CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F"
2,NA,"DEENCVDXCNHHAM-UHFFFAOYSA-N","C20H9F34O2P",957.979725638,"O=P(O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
3,NA,"JKDZBIHMORMGRL-UHFFFAOYSA-N","C42H12F75O4P",2035.927561994,"O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
4,NA,"CVMPVWSYSNATQO-UHFFFAOYSA-N","C9H6ClF9O2",351.991261092,"C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
5,NA,"JZEKVGIWHZEUSP-UHFFFAOYSA-N","C10H6F10O",332.025897012,"FC(F)(F)C(F)(F)C(F)(F)OC1(F)C2C=CC(C2)C1(F)F"
6,NA,"NGEYGRCDNBGSKG-UHFFFAOYSA-N","C12H8F10O",358.041547076,"FC(F)(F)C(F)(F)C(F)(F)OC1(F)C2C3C=CC(C3)C2C1(F)F"
7,NA,"QAIOQFZLAKMXNK-UHFFFAOYSA-N","C11H9F9",312.056054268,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1CC2C=CC1C2"
8,NA,"PEWOESYEGLBLNR-UHFFFAOYSA-N","C14H15F7O2",348.09602726,"CC12CCC(C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C"
9,NA,"FUVKFLJWBHVMHX-UHFFFAOYSA-N","C4H2F9NO2S",298.966253284,"NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
10,NA,"INMDAGXEYRBPRG-UHFFFAOYSA-N","C10H4Cl2F7NO",356.955816648,"OC(=Nc1ccc(Cl)c(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F"
11,NA,"WGNKYUWDFZMCGQ-UHFFFAOYSA-N","C10H4Cl2F7NO",356.955816648,"OC(=Nc1cc(Cl)cc(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F"
12,NA,"WUGSPVXFVQZHFC-UHFFFAOYSA-N","C28H28F17N3O8S",889.132565596,"C=C(C)C(=O)OCC(C)OC(O)=Nc1cc(N=C(O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1C"
