"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID70379917","CAS_RN: 27854-30-4","AAEJJSZYNKXKSW-UHFFFAOYSA-N","C9H5F13O2",392.00819626,"O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID10346749","CAS_RN: 92835-92-2","AAIXLNBYXIVUKR-UHFFFAOYSA-N","C6H4F7IO",351.919510288,"OCC(I)=CC(F)(F)C(F)(F)C(F)(F)F"
"DTXSID10346749","CAS_RN: 92835-82-0","AAIXLNBYXIVUKR-UHFFFAOYSA-N","C6H4F7IO",351.919510288,"OCC(I)=CC(F)(F)C(F)(F)C(F)(F)F"
"DTXSID50893348","CAS_RN: 143356-32-5","AAPHNZCZOSOYTI-UHFFFAOYSA-N","C18F40N2",1003.9422768,"FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID7066063","CAS_RN: 3658-63-7","FTUYMACVNWCLNM-UHFFFAOYSA-N","C11HF21O2",563.964121892,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
"DTXSID90505110","CAS_RN: 42532-60-5","AASDJASZOZGYMM-UHFFFAOYSA-N","C4F7N",194.99189654,"N#CC(F)(C(F)(F)F)C(F)(F)F"
"DTXSID90892532","CAS_RN: 88992-45-4","CNMMRRVECJZEIU-UHFFFAOYSA-N","C14H19F13NOS",496.097977088,"C[N+](C)(C)CC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID90371599","CAS_RN: 236736-19-9","ABBOXTQECRSSQR-UHFFFAOYSA-N","C6H3Br2F9",403.845778276,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr"
"DTXSID20874028","CAS_RN: 914637-49-3","ABFCFCPCGMHSRX-UHFFFAOYSA-N","C8H5F11O2",342.01138982,"O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID10336923","CAS_RN: 400-57-7","ABJHYFXBHBSPMK-UHFFFAOYSA-N","C22H37F7O2",466.268177964,"CCCCCCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F"
