"INCHIKEY","SMILES","ID","CAS","FORMULA","MONOISOTOPIC_MASS","Type","name","parent","transformation","generation","biosystem","REF","NumHDonors","NumHAcceptors"
"MXWJVTOOROXGIU-UHFFFAOYSA-N","CCNc1nc(Cl)nc(NC(C)C)n1","input_suspect_testdata_1","1912-24-9","C8H14ClN5","215.093773128","PC","Atrazine","Atrazine","no_transf","0","NA","NA",2,5
"ATVLXKVTLCASLQ-UHFFFAOYSA-N","CNCCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","input_suspect_testdata_3",NA,"C12H15F13N2O2S","498.06466558","PC","6:2 fluorotelomer sulfonamido propyl methyl amine","6_2 fluorotelomer sulfonamido propyl methyl amine","no_transf","0","NA","NA",2,3
"NFMIMWNQWAWNDW-UHFFFAOYSA-N","CCNc1nc(O)nc(NC(C)C)n1","1",NA,"C8H15N5O","197.1276601","TP","Atrazine-TP1; Atrazine-TP6; 2-hydroxyatrazine; Hydroxyatrazine; Atrazine-2-hydroxy","Atrazine","Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4; Environmental; Avian metabolism; Dehalogenation; Environmental Transformation","1","NA; ENVMICRO; soil; Bird; NULL","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.1021/acs.est.1c00466; 10.5281/zenodo.3827487; 10.1007/s13361-017-1797-6; 10.1016/j.watres.2019.114972",3,6
"UYWMPSWDLNWIOA-UHFFFAOYSA-N","CC(C)Nc1nc(O)nc(NC(C)=O)n1","2",NA,"C8H13N5O2","211.106924656","TP","Atrazine-TP2; Atrazine-TP6-TP6","Atrazine","s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",3,6
"GCKLGRUZDXSATG-UHFFFAOYSA-N","CC(C)Nc1nc(N)nc(O)n1","3",NA,"C6H11N5O","169.096359972","TP","Atrazine-TP3; Atrazine-TP12; Atrazine-TP1-TP6; Atrazine-TP2-TP7; Atrazine-TP6-TP15; Atrazine-TP2-1-TP7; Atrazine-TP8-TP5; Atrazine-TP8-1-TP5; Atrazine-desethyl-2-hydroxy","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Avian metabolism/Multiple; Secondary amine cleavage; Dehalogenation","2; 1","NA; ENVMICRO; Bird/NULL; NULL","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.5281/zenodo.3827487/10.1007/s13361-017-1797-6; 10.1007/s13361-017-1797-6",3,6
"XRVCXZWINJOORX-UHFFFAOYSA-N","CCNc1nc(N)nc(O)n1","4",NA,"C5H9N5O","155.080709908","TP","Atrazine-TP4; Atrazine-TP14; Atrazine-TP1-TP7; Atrazine-TP5-TP7; Atrazine-TP14-TP5; Atrazine-TP18-TP15; Atrazine-TP5-1-TP7; Atrazine-TP14-1-TP5","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",3,6
"IZLXSLVQFMDTEX-UHFFFAOYSA-N","CCNc1nc(O)nc(NC(C)=O)n1","5",NA,"C7H11N5O2","197.091274592","TP","Atrazine-TP5; Atrazine-TP18-TP6","Atrazine","s-Triazine Side Chain N-isopropyl Photooxidation to Ketone; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",3,6
"KIGOTEDYNQVLGZ-UHFFFAOYSA-N","CC(C)Nc1nc(Cl)nc(NC(C)=O)n1","6",NA,"C8H12ClN5O","229.073037684","TP","Atrazine-TP6","Atrazine","s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl","1","NA","CTS_combined_photolysis_abiotic_hydrolysis",2,5
"QTBSBXVTEAMEQO-UHFFFAOYSA-N","CC(O)=O","8",NA,"C2H4O2","60.021129368","TP","Atrazine-TP7; Atrazine-TP9; S-Metolachlor-TP27; Atrazine-TP1-TP11; Atrazine-TP2-TP8; Atrazine-TP4-TP7; Atrazine-TP5-TP8; Atrazine-TP6-TP5; Atrazine-TP2-1-TP8; Atrazine-TP9-TP2; Atrazine-TP10-TP4; Atrazine-TP11-TP2; Atrazine-TP9-1-TP2; Atrazine-TP14-TP7; Atrazine-TP4-1-TP7; Atrazine-TP9-2-TP2; Atrazine-TP15-TP3; Atrazine-TP16-TP5; Atrazine-TP10-1-TP4; Atrazine-TP15-1-TP3; Atrazine-TP17-TP4; Atrazine-TP18-TP5; Atrazine-TP5-1-TP8; Atrazine-TP14-1-TP7; Atrazine-TP11-1-TP2; Atrazine-TP9-3-TP2; Atrazine-TP17-1-TP4; S-Metolachlor-TP3-TP2; Acetic Acid","Atrazine; S-Metolachlor","N-aryl Amide Photohydrolysis; EAWAG_RULE_BT0003; EAWAG_RULE_BT0430; EAWAG_RULE_BT0029; EAWAG_RULE_BT0067_PATTERN1; Aliphatic Hydroxylation / Human Phase I","2; 1","NA; ENVMICRO; Human","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.1186/s13321-018-0324-5",1,1
"DFWFIQKMSFGDCQ-UHFFFAOYSA-N","CC(C)Nc1nc(N)nc(Cl)n1","9",NA,"C6H10ClN5","187.062473","TP","Atrazine-TP8; Atrazine-TP3; Atrazine-TP6-TP4; deethylatrazine; Deethylatrazine; Atrazine-desethyl","Atrazine","N-aryl Amide Photohydrolysis; s-Triazine Side Chain Photochemical N-dealkylation; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Environmental; Avian metabolism/Bacterial metabolism/Fungal metabolism/Human metabolism/In vitro mammalian metabolism/Mammalian metabolism/Mammalian, bacterial, plant metabolism/Metabolism; Deethylation; Environmental Transformation","2; 1","NA; ENVMICRO; soil; Bird/Bacteria/Fungi/Human/Mammal (in vitro)/Mammal/Mammal, bacteria, plant/NULL; NULL","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.1021/acs.est.1c00466; 10.5281/zenodo.3827487/PMID:8967773/PMID:512229; 10.1007/s13361-017-1797-6; 10.1016/j.watres.2019.114972",2,5
"JZDAHZAVLYDAFN-UHFFFAOYSA-N","CC(=O)Nc1nc(N)nc(Cl)n1","10",NA,"C5H6ClN5O","187.026087492","TP","Atrazine-TP9; Atrazine-TP6-TP3; Atrazine-TP11-TP3; Atrazine-TP18-TP3; Atrazine-TP11-1-TP3","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation; s-Triazine Side Chain N-isopropyl Photooxidation to Ketone; s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,5
"FXUSSLHZUPMANN-UHFFFAOYSA-N","CC(C)Nc1ncnc(NC(C)=O)n1","11",NA,"C8H13N5O","195.112010036","TP","Atrazine-TP10; Atrazine-TP6-TP1","Atrazine","Aromatic Photohydrodehalogenation; s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl; EAWAG_RULE_BT0029","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,5
"VORGHXURDJHDGT-UHFFFAOYSA-N","CC(=O)Nc1nc(Cl)nc(NC(C)=O)n1","12",NA,"C7H8ClN5O2","229.036652176","TP","Atrazine-TP11","Atrazine","s-Triazine Side Chain N-isopropyl Photooxidation to Ketone; s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl","2","NA","CTS_combined_photolysis_abiotic_hydrolysis",2,5
