"INCHIKEY","SMILES","ID","CAS","FORMULA","MONOISOTOPIC_MASS","Type","name","target","parent","transformation","generation","biosystem","REF","SOURCE.PRED","NumHDonors","NumHAcceptors"
"MXWJVTOOROXGIU-UHFFFAOYSA-N","CCNc1nc(Cl)nc(NC(C)C)n1","input_suspect_testdata_1","1912-24-9","C8H14ClN5","215.093773128","PC","Atrazine","Atrazine","Atrazine","no_transf","0","NA","NA","NA",2,5
"WVQBLGZPHOPPFO-LBPRGKRZSA-N","CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC","input_suspect_testdata_2",NA,"C15H22ClNO2","283.133906624","PC","S_Metolachlor","S_Metolachlor","S-Metolachlor","no_transf","0","NA","NA","NA",0,2
"ATVLXKVTLCASLQ-UHFFFAOYSA-N","CNCCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","input_suspect_testdata_3",NA,"C12H15F13N2O2S","498.06466558","PC","6_2_fluorotelomer_sulfonamido_propyl_methyl_amine","6_2_fluorotelomer_sulfonamido_propyl_methyl_amine","6_2 fluorotelomer sulfonamido propyl methyl amine","no_transf","0","NA","NA","NA",2,3
"NFMIMWNQWAWNDW-UHFFFAOYSA-N","CCNc1nc(O)nc(NC(C)C)n1","1",NA,"C8H15N5O","197.1276601","TP","Atrazine-TP1; Atrazine-TP6; 2-hydroxyatrazine; Hydroxyatrazine; Atrazine-2-hydroxy; NA","Atrazine","Atrazine; CCNC1=NC(=NC(=N1)Cl)NC(C)C","Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4; Environmental; Avian metabolism; Dehalogenation; Environmental Transformation; Reaction 55","1","NA; ENVMICRO; soil; Bird; NULL","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.1021/acs.est.1c00466; 10.5281/zenodo.3827487; 10.1007/s13361-017-1797-6; 10.1016/j.watres.2019.114972; https://envipath.org/package/4ec6668f-e864-4fad-9bb3-50b9d66a5b8b/pathway/6b4f3b3d-0487-421a-9e86-f755d8f34041","CTS; BioTransformer; library; envipath",3,6
"UYWMPSWDLNWIOA-UHFFFAOYSA-N","CC(C)Nc1nc(O)nc(NC(C)=O)n1","2",NA,"C8H13N5O2","211.106924656","TP","Atrazine-TP2; Atrazine-TP10-TP6","Atrazine","Atrazine; Atrazine-TP10","s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4","1;2","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env","CTS; BioTransformer",3,6
"QTBSBXVTEAMEQO-UHFFFAOYSA-N","CC(O)=O","3",NA,"C2H4O2","60.021129368","TP","Atrazine-TP3; Atrazine-TP9; S_Metolachlor-TP27; Atrazine-TP1-TP11; Atrazine-TP2-TP8; Atrazine-TP5-TP3; Atrazine-TP6-TP3; Atrazine-TP5-1-TP3; Atrazine-TP8-TP7; Atrazine-TP5-2-TP3; Atrazine-TP9-TP8; Atrazine-TP8-1-TP7; Atrazine-TP6-1-TP3; Atrazine-TP5-3-TP3; Atrazine-TP10-TP5; Atrazine-TP2-1-TP8; Atrazine-TP5-4-TP3; Atrazine-TP6-2-TP3; Atrazine-TP14-TP2; Atrazine-TP14-1-TP2; Atrazine-TP5-5-TP3; Atrazine-TP15-TP1; Atrazine-TP16-TP4; Atrazine-TP15-1-TP1; Atrazine-TP17-TP1; Atrazine-TP18-TP2; Atrazine-TP6-3-TP3; Atrazine-TP14-2-TP2; Atrazine-TP17-1-TP1; Atrazine-TP5-6-TP3; Atrazine-TP15-2-TP1; Atrazine-TP14-3-TP2; Atrazine-TP5-7-TP3; Atrazine-TP15-3-TP1; Atrazine-TP20-TP7; Atrazine-TP8-2-TP7; Atrazine-TP5-8-TP3; Atrazine-TP14-4-TP2; Atrazine-TP5-9-TP3; Atrazine-TP15-4-TP1; Atrazine-TP21-TP3; Atrazine-TP15-5-TP1; Atrazine-TP22-TP5; Atrazine-TP16-1-TP4; Atrazine-TP15-6-TP1; Atrazine-TP17-2-TP1; Atrazine-TP15-7-TP1; Atrazine-TP21-1-TP3; Atrazine-TP15-8-TP1; Atrazine-TP23-TP4; Atrazine-TP21-2-TP3; Atrazine-TP17-3-TP1; Atrazine-TP15-9-TP1; Atrazine-TP24-TP5; Atrazine-TP9-1-TP8; Atrazine-TP8-3-TP7; Atrazine-TP6-4-TP3; Atrazine-TP5-10-TP3; Atrazine-TP20-1-TP7; Atrazine-TP8-4-TP7; Atrazine-TP14-5-TP2; Atrazine-TP21-3-TP3; Atrazine-TP18-1-TP2; Atrazine-TP6-5-TP3; Atrazine-TP14-6-TP2; Atrazine-TP17-4-TP1; Atrazine-TP14-7-TP2; Atrazine-TP5-11-TP3; Atrazine-TP15-10-TP1; Atrazine-TP23-1-TP4; Atrazine-TP21-4-TP3; Atrazine-TP17-5-TP1; Atrazine-TP15-11-TP1; S_Metolachlor-TP3-TP2; Acetic Acid; NA","Atrazine; S_Metolachlor; NA","Atrazine; S_Metolachlor; Atrazine-TP1; Atrazine-TP2; Atrazine-TP5; Atrazine-TP6; Atrazine-TP5-1; Atrazine-TP8; Atrazine-TP5-2; Atrazine-TP9; Atrazine-TP8-1; Atrazine-TP6-1; Atrazine-TP5-3; Atrazine-TP10; Atrazine-TP2-1; Atrazine-TP5-4; Atrazine-TP6-2; Atrazine-TP14; Atrazine-TP14-1; Atrazine-TP5-5; Atrazine-TP15; Atrazine-TP16; Atrazine-TP15-1; Atrazine-TP17; Atrazine-TP18; Atrazine-TP6-3; Atrazine-TP14-2; Atrazine-TP17-1; Atrazine-TP5-6; Atrazine-TP15-2; Atrazine-TP14-3; Atrazine-TP5-7; Atrazine-TP15-3; Atrazine-TP20; Atrazine-TP8-2; Atrazine-TP5-8; Atrazine-TP14-4; Atrazine-TP5-9; Atrazine-TP15-4; Atrazine-TP21; Atrazine-TP15-5; Atrazine-TP22; Atrazine-TP16-1; Atrazine-TP15-6; Atrazine-TP17-2; Atrazine-TP15-7; Atrazine-TP21-1; Atrazine-TP15-8; Atrazine-TP23; Atrazine-TP21-2; Atrazine-TP17-3; Atrazine-TP15-9; Atrazine-TP24; Atrazine-TP9-1; Atrazine-TP8-3; Atrazine-TP6-4; Atrazine-TP5-10; Atrazine-TP20-1; Atrazine-TP8-4; Atrazine-TP14-5; Atrazine-TP21-3; Atrazine-TP18-1; Atrazine-TP6-5; Atrazine-TP14-6; Atrazine-TP17-4; Atrazine-TP14-7; Atrazine-TP5-11; Atrazine-TP15-10; Atrazine-TP23-1; Atrazine-TP21-4; Atrazine-TP17-5; Atrazine-TP15-11; S_Metolachlor-TP3; Atrazine-TP2-2; CCNC1=NC(=NC(=N1)Cl)NC(C)C; CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)C","N-aryl Amide Photohydrolysis; EAWAG_RULE_BT0003; EAWAG_RULE_BT0430; EAWAG_RULE_BT0029; EAWAG_RULE_BT0067_PATTERN1; Aliphatic Hydroxylation / Human Phase I; Reaction 63; Reaction 91","1;2;3","NA; ENVMICRO; Human","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.1186/s13321-018-0324-5; https://envipath.org/package/4ec6668f-e864-4fad-9bb3-50b9d66a5b8b/pathway/6b4f3b3d-0487-421a-9e86-f755d8f34041; https://envipath.org/package/4ec6668f-e864-4fad-9bb3-50b9d66a5b8b/pathway/ff23cf38-6598-4500-9721-a96f1ad59258","CTS; BioTransformer; library; envipath",1,1
"GCKLGRUZDXSATG-UHFFFAOYSA-N","CC(C)Nc1nc(N)nc(O)n1","4",NA,"C6H11N5O","169.096359972","TP","Atrazine-TP4; Atrazine-TP12; Atrazine-TP1-TP6; Atrazine-TP2-TP7; Atrazine-TP10-TP15; Atrazine-TP2-1-TP7; Atrazine-TP11-TP5; Atrazine-TP11-1-TP5; Atrazine-desethyl-2-hydroxy; NA","Atrazine","Atrazine; Atrazine-TP1; Atrazine-TP2; Atrazine-TP10; Atrazine-TP2-1; Atrazine-TP11; Atrazine-TP11-1; CCNC1=NC(=NC(=N1)Cl)NC(C)C","N-aryl Amide Photohydrolysis; s-Triazine Side Chain Photochemical N-dealkylation; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Avian metabolism/Multiple; Secondary amine cleavage; Dehalogenation; Reaction 61","1;2;3","NA; ENVMICRO; Bird/NULL; NULL","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.5281/zenodo.3827487/10.1007/s13361-017-1797-6; 10.1007/s13361-017-1797-6; https://envipath.org/package/4ec6668f-e864-4fad-9bb3-50b9d66a5b8b/pathway/6b4f3b3d-0487-421a-9e86-f755d8f34041","CTS; BioTransformer; library; envipath",3,6
"KIQMRVUJLQUPRS-UHFFFAOYSA-N","CC(=O)Nc1nc(N)nc(O)n1","5",NA,"C5H7N5O2","169.059974464","TP","Atrazine-TP5; Atrazine-TP2-TP6; Atrazine-TP6-TP4; Atrazine-TP9-TP6; Atrazine-TP6-1-TP4; Atrazine-TP10-TP13; Atrazine-TP2-1-TP6; Atrazine-TP6-2-TP4; Atrazine-TP14-TP6; Atrazine-TP14-1-TP6; Atrazine-TP18-TP12; Atrazine-TP6-3-TP4; Atrazine-TP14-2-TP6; Atrazine-TP14-3-TP6; Atrazine-TP14-4-TP6; Atrazine-TP24-TP13; Atrazine-TP9-1-TP6; Atrazine-TP6-4-TP4; Atrazine-TP14-5-TP6; Atrazine-TP18-1-TP12; Atrazine-TP6-5-TP4; Atrazine-TP14-6-TP6; Atrazine-TP14-7-TP6","Atrazine","Atrazine; Atrazine-TP2; Atrazine-TP6; Atrazine-TP9; Atrazine-TP6-1; Atrazine-TP10; Atrazine-TP2-1; Atrazine-TP6-2; Atrazine-TP14; Atrazine-TP14-1; Atrazine-TP18; Atrazine-TP6-3; Atrazine-TP14-2; Atrazine-TP14-3; Atrazine-TP14-4; Atrazine-TP24; Atrazine-TP9-1; Atrazine-TP6-4; Atrazine-TP14-5; Atrazine-TP18-1; Atrazine-TP6-5; Atrazine-TP14-6; Atrazine-TP14-7","s-Triazine Side Chain Photochemical N-dealkylation; s-Triazine Side Chain N-isopropyl Photooxidation to Ketone; s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; EAWAG_RULE_BT0330_PATTERN4","1;2;3","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env","CTS; BioTransformer",3,6
"RTIFUAIHJMZJEH-UHFFFAOYSA-N","CC(=O)Nc1nc(O)nc(NC(C)=O)n1","6",NA,"C7H9N5O3","211.070539148","TP","Atrazine-TP6; Atrazine-TP18-TP5; Atrazine-TP18-1-TP5","Atrazine","Atrazine; Atrazine-TP18; Atrazine-TP18-1","s-Triazine Side Chain N-isopropyl Photooxidation to Ketone; s-Triazine Side Chain N-alkyl Photooxidation to Carbonyl; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0330_PATTERN4","1;3","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env","CTS; BioTransformer",3,6
"MASBWURJQFFLOO-UHFFFAOYSA-N","Nc1nc(N)nc(O)n1","8",NA,"C3H5N5O","127.04940978","TP","Atrazine-TP7; Atrazine-TP1-TP12; Atrazine-TP2-TP15; Atrazine-TP4-TP4; Atrazine-TP5-TP4; Atrazine-TP6-TP12; Atrazine-TP4-1-TP4; Atrazine-TP5-1-TP4; Atrazine-TP8-TP4; Atrazine-TP5-2-TP4; Atrazine-TP9-TP14; Atrazine-TP8-1-TP4; Atrazine-TP6-1-TP12; Atrazine-TP5-3-TP4; Atrazine-TP2-1-TP15; Atrazine-TP4-2-TP4; Atrazine-TP5-4-TP4; Atrazine-TP6-2-TP12; Atrazine-TP11-TP14; Atrazine-TP4-3-TP4; Atrazine-TP14-TP19; Atrazine-TP14-1-TP19; Atrazine-TP5-5-TP4; Atrazine-TP6-3-TP12; Atrazine-TP14-2-TP19; Atrazine-TP11-1-TP14; Atrazine-TP4-4-TP4; Atrazine-TP5-6-TP4; Atrazine-TP14-3-TP19; Atrazine-TP5-7-TP4; Atrazine-TP20-TP14; Atrazine-TP8-2-TP4; Atrazine-TP5-8-TP4; Atrazine-TP14-4-TP19; Atrazine-TP5-9-TP4; Atrazine-TP9-1-TP14; Atrazine-TP8-3-TP4; Atrazine-TP6-4-TP12; Atrazine-TP5-10-TP4; Atrazine-TP20-1-TP14; Atrazine-TP8-4-TP4; Atrazine-TP14-5-TP19; Atrazine-TP6-5-TP12; Atrazine-TP14-6-TP19; Atrazine-TP14-7-TP19; Atrazine-TP5-11-TP4; Ammeline","Atrazine","Atrazine; Atrazine-TP1; Atrazine-TP2; Atrazine-TP4; Atrazine-TP5; Atrazine-TP6; Atrazine-TP4-1; Atrazine-TP5-1; Atrazine-TP8; Atrazine-TP5-2; Atrazine-TP9; Atrazine-TP8-1; Atrazine-TP6-1; Atrazine-TP5-3; Atrazine-TP2-1; Atrazine-TP4-2; Atrazine-TP5-4; Atrazine-TP6-2; Atrazine-TP11; Atrazine-TP4-3; Atrazine-TP14; Atrazine-TP14-1; Atrazine-TP5-5; Atrazine-TP6-3; Atrazine-TP14-2; Atrazine-TP11-1; Atrazine-TP4-4; Atrazine-TP5-6; Atrazine-TP14-3; Atrazine-TP5-7; Atrazine-TP20; Atrazine-TP8-2; Atrazine-TP5-8; Atrazine-TP14-4; Atrazine-TP5-9; Atrazine-TP9-1; Atrazine-TP8-3; Atrazine-TP6-4; Atrazine-TP5-10; Atrazine-TP20-1; Atrazine-TP8-4; Atrazine-TP14-5; Atrazine-TP6-5; Atrazine-TP14-6; Atrazine-TP14-7; Atrazine-TP5-11","s-Triazine Side Chain Photochemical N-dealkylation; Aromatic Halide Photohydrolysis; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Mammalian metabolism","1;2;3","NA; ENVMICRO; Mammal","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.5281/zenodo.3827487","CTS; BioTransformer; library",3,6
